date,theme,chg,chg_3d,value_mil,value_eok,count
2026-06-13,원자력발전소 해체,+13.14%,+1.00%,674446,6744.5,15
2026-06-13,건설 대표주,+9.79%,+0.82%,975791,9757.9,6
2026-06-13,자동차 대표주,+9.32%,-0.09%,2132918,21329.2,7
2026-06-13,인터넷 대표주,+7.93%,-3.16%,1472879,14728.8,2
2026-06-13,HBM(고대역폭메모리),+7.83%,+5.06%,25402580,254025.8,33
2026-06-13,반도체 대표주(생산),+7.50%,+1.24%,21499593,214995.9,3
2026-06-13,반도체 장비,+7.09%,+4.53%,9889498,98895.0,95
2026-06-13,원자력발전,+6.93%,+1.27%,2329122,23291.2,50
2026-06-13,테마파크,+6.81%,+1.38%,161217,1612.2,6
2026-06-13,온디바이스 AI,+6.36%,+3.56%,27487210,274872.1,24
2026-06-13,뉴로모픽 반도체,+6.26%,+2.42%,10213602,102136.0,7
2026-06-13,日 수출 규제(국산화 등),+6.00%,+3.15%,844510,8445.1,20
2026-06-13,로봇(산업용/협동로봇 등),+5.74%,+0.81%,2267210,22672.1,70
2026-06-13,전후 재건(우크라/중동 전쟁 등),+5.74%,+1.22%,1308450,13084.5,40
2026-06-13,반도체 재료/부품,+5.73%,+4.57%,2379381,23793.8,69
2026-06-13,GTX(수도권 광역급행철도),+5.53%,+1.20%,881609,8816.1,24
2026-06-13,증권,+5.42%,+1.05%,552112,5521.1,21
2026-06-13,모듈러주택,+5.41%,+0.34%,572641,5726.4,10
2026-06-13,풍력에너지,+5.38%,+1.33%,1481414,14814.1,36
2026-06-13,전력반도체,+5.37%,+2.34%,21765950,217659.5,19
2026-06-13,시스템반도체,+5.15%,+3.23%,26254082,262540.8,57
2026-06-13,리튬,+5.09%,+2.29%,1095280,10952.8,22
2026-06-13,건설기계,+4.99%,+1.54%,157260,1572.6,16
2026-06-13,2차전지(생산),+4.99%,-0.34%,613380,6133.8,3
2026-06-13,리비안(RIVIAN),+4.93%,+0.84%,509580,5095.8,21
2026-06-13,IT 대표주,+4.92%,-0.81%,22410061,224100.6,6
2026-06-13,셰일가스(Shale Gas),+4.92%,+1.63%,577268,5772.7,11
2026-06-13,철강 주요종목,+4.87%,+0.90%,264750,2647.5,11
2026-06-13,수자원(양적/질적 개선),+4.83%,+1.89%,957126,9571.3,27
2026-06-13,토스(toss),+4.82%,+1.57%,156495,1565.0,6
2026-06-13,전자파,+4.73%,+2.78%,2094932,20949.3,12
2026-06-13,LNG(액화천연가스),+4.65%,+1.01%,1197214,11972.1,26
2026-06-13,피지컬 AI/휴머노이드 로봇,+4.65%,+0.69%,14181962,141819.6,42
2026-06-13,시멘트/레미콘,+4.53%,+1.70%,57878,578.8,15
2026-06-13,철도,+4.43%,+0.87%,462054,4620.5,40
2026-06-13,STO(토큰증권 발행),+4.43%,+1.35%,911164,9111.6,25
2026-06-13,냉각시스템(액침냉각 등),+4.41%,+2.21%,1258265,12582.6,13
2026-06-13,스마트카(SMART CAR),+4.39%,-0.25%,1616169,16161.7,13
2026-06-13,코리아 밸류업 지수(Korea Value-up Index),+4.38%,+2.25%,34695605,346956.0,99
2026-06-13,음성인식,+4.36%,-0.40%,2073253,20732.5,11
2026-06-13,우주태양광(페로브스카이트 등),+4.31%,+3.17%,360661,3606.6,10
2026-06-13,탄소나노튜브(CNT),+4.26%,-0.17%,136505,1365.0,5
2026-06-13,2차전지(나트륨이온),+4.23%,+1.18%,848605,8486.0,9
2026-06-13,유심(USIM),+4.20%,+2.34%,4867,48.7,5
2026-06-13,항공/저가 항공사(LCC),+4.11%,+0.48%,109299,1093.0,9
2026-06-13,남-북-러 가스관사업,+4.11%,+1.63%,24265,242.7,13
2026-06-13,황사/미세먼지,+4.10%,+1.31%,54586,545.9,25
2026-06-13,피팅(관이음쇠)/밸브,+4.04%,+1.17%,38861,388.6,9
2026-06-13,온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),+4.02%,+1.96%,545077,5450.8,17
2026-06-13,LED장비,+3.99%,+5.09%,2052430,20524.3,11
2026-06-13,OLED(유기 발광 다이오드),+3.96%,+2.28%,13798526,137985.3,79
2026-06-13,방위산업/전쟁 및 테러,+3.93%,+1.22%,2694585,26945.8,67
2026-06-13,바이오인식(생체인식),+3.92%,+1.25%,45091,450.9,19
2026-06-13,종합상사,+3.89%,+0.31%,778638,7786.4,8
2026-06-13,핵융합에너지,+3.86%,+2.80%,438157,4381.6,8
2026-06-13,리모델링/인테리어,+3.85%,+0.45%,50346,503.5,24
2026-06-13,조선,+3.76%,+0.46%,857980,8579.8,7
