date,theme,chg,chg_3d,value_mil,value_eok,count
2026-06-29,리튬,+15.40%,-2.14%,1086369,10863.7,22
2026-06-29,2차전지(생산),+14.43%,-1.73%,723341,7233.4,3
2026-06-29,2차전지(나트륨이온),+13.74%,-2.89%,1156338,11563.4,9
2026-06-29,제대혈,+13.57%,-2.56%,17409,174.1,5
2026-06-29,2차전지(LFP/리튬인산철),+13.10%,-2.56%,441508,4415.1,12
2026-06-29,오가노이드,+12.12%,-1.64%,128305,1283.0,8
2026-06-29,2차전지(소재/부품),+11.48%,-2.65%,1280972,12809.7,75
2026-06-29,면역항암제,+11.47%,-2.10%,452499,4525.0,36
2026-06-29,2차전지(전고체),+11.45%,-3.00%,2437579,24375.8,30
2026-06-29,원격진료/비대면진료(U-Healthcare),+11.13%,-1.25%,78343,783.4,21
2026-06-29,비만치료제,+11.08%,-1.88%,657593,6575.9,36
2026-06-29,탄소나노튜브(CNT),+11.01%,-2.47%,99048,990.5,5
2026-06-29,2차전지,+10.87%,-2.64%,2134825,21348.2,144
2026-06-29,지역화폐,+10.85%,-1.55%,4979,49.8,5
2026-06-29,피팅(관이음쇠)/밸브,+10.62%,-2.81%,21218,212.2,9
2026-06-29,고체산화물 연료전지(SOFC),+10.58%,-2.95%,637775,6377.8,13
2026-06-29,캐릭터상품,+10.52%,-2.91%,7209,72.1,9
2026-06-29,원자력발전소 해체,+10.51%,-3.20%,589309,5893.1,15
2026-06-29,전력저장장치(ESS),+10.49%,-2.41%,2314975,23149.8,41
2026-06-29,폐배터리,+10.44%,-2.13%,1436253,14362.5,20
2026-06-29,의료AI,+10.33%,-1.76%,91539,915.4,30
2026-06-29,해저터널(지하화/지하도로 등),+10.31%,-2.10%,98327,983.3,9
2026-06-29,바이오시밀러(복제 바이오의약품),+10.27%,-0.11%,753450,7534.5,21
2026-06-29,모더나(MODERNA),+10.21%,-0.15%,180235,1802.3,6
2026-06-29,2차전지(장비),+10.17%,-2.64%,81140,811.4,47
2026-06-29,원자력발전,+10.00%,-2.62%,1374392,13743.9,50
2026-06-29,GTX(수도권 광역급행철도),+9.71%,-0.22%,451887,4518.9,24
2026-06-29,딥페이크(deepfake),+9.68%,-2.91%,9458,94.6,14
2026-06-29,스페이스X(SpaceX),+9.67%,-2.64%,774309,7743.1,14
2026-06-29,풍력에너지,+9.66%,-1.24%,1677920,16779.2,36
2026-06-29,정유,+9.63%,-1.77%,114860,1148.6,3
2026-06-29,AI 챗봇(챗GPT 등),+9.45%,-2.03%,529545,5295.4,31
2026-06-29,건설 중소형,+9.43%,+1.34%,66611,666.1,26
2026-06-29,미용기기,+9.41%,-0.86%,362387,3623.9,19
2026-06-29,줄기세포,+9.30%,-1.73%,29582,295.8,18
2026-06-29,로봇(산업용/협동로봇 등),+9.24%,-2.10%,1394451,13944.5,71
2026-06-29,퓨리오사AI,+9.19%,-1.61%,18321,183.2,11
2026-06-29,우주항공산업(누리호/인공위성 등),+9.17%,-2.91%,829117,8291.2,37
2026-06-29,3D 프린터,+9.17%,-1.24%,66205,662.0,11
2026-06-29,mRNA(메신저 리보핵산),+9.14%,-0.78%,271926,2719.3,14
2026-06-29,초전도체,+9.09%,-3.45%,251341,2513.4,15
2026-06-29,전력설비,+9.04%,-2.96%,1324624,13246.2,34
2026-06-29,영상콘텐츠,+9.03%,-2.35%,34876,348.8,34
2026-06-29,전선,+9.03%,-3.82%,297697,2977.0,8
2026-06-29,조선기자재,+9.02%,-2.46%,145627,1456.3,36
2026-06-29,코로나19(음압병실/음압구급차),+9.02%,-0.47%,22641,226.4,7
2026-06-29,의료기기,+9.01%,-1.49%,11942582,119425.8,91
2026-06-29,치매,+9.01%,-1.93%,296829,2968.3,50
2026-06-29,NFT(대체불가토큰),+9.01%,-1.99%,11662651,116626.5,20
2026-06-29,2026 상반기 신규상장,+8.95%,-1.79%,871314,8713.1,29
2026-06-29,뉴로모픽 반도체,+8.94%,-3.23%,11383159,113831.6,7
2026-06-29,여행,+8.91%,-1.34%,17656,176.6,9
2026-06-29,냉각시스템(액침냉각 등),+8.84%,-0.86%,1006682,10066.8,13
2026-06-29,엔터테인먼트,+8.83%,-1.80%,178329,1783.3,30
2026-06-29,핵융합에너지,+8.83%,-2.74%,408676,4086.8,8
2026-06-29,음원/음반,+8.71%,-1.73%,170841,1708.4,15
2026-06-29,리비안(RIVIAN),+8.69%,-2.09%,457779,4577.8,21
2026-06-29,모듈러주택,+8.68%,-2.06%,526012,5260.1,10
2026-06-29,지능형로봇/인공지능(AI),+8.62%,-2.28%,815654,8156.5,66
2026-06-29,고령화 사회(노인복지),+8.58%,-0.90%,11573076,115730.8,35
2026-06-29,코로나19(치료제/백신 개발 등),+8.53%,-1.87%,300937,3009.4,29
2026-06-29,피지컬 AI/휴머노이드 로봇,+8.53%,-2.35%,13108048,131080.5,42
2026-06-29,바이오인식(생체인식),+8.51%,-1.91%,25985,259.9,19
2026-06-29,우주태양광(페로브스카이트 등),+8.51%,-2.37%,208416,2084.2,10
2026-06-29,마이크로바이옴,+8.46%,-1.76%,128124,1281.2,18
2026-06-29,유전자 치료제/분석,+8.44%,-1.87%,85530,855.3,42
2026-06-29,日 수출 규제(국산화 등),+8.42%,-2.26%,231233,2312.3,19
2026-06-29,전자결제(전자화폐),+8.37%,-1.30%,27281,272.8,13
2026-06-29,보톡스(보툴리눔톡신),+8.37%,+0.11%,191764,1917.6,13
2026-06-29,스마트팩토리(스마트공장),+8.16%,-2.52%,846423,8464.2,38
2026-06-29,게임,+8.14%,-1.89%,336776,3367.8,30
2026-06-29,철도,+8.11%,-1.73%,254840,2548.4,40
2026-06-29,NI(네트워크통합),+8.09%,-1.54%,2865,28.6,7
2026-06-29,온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),+8.09%,-1.82%,411119,4111.2,17
2026-06-29,전후 재건(우크라/중동 전쟁 등),+8.08%,-1.65%,944841,9448.4,40
2026-06-29,귀금속(금/은),+8.08%,-2.36%,32495,324.9,4
2026-06-29,코로나19(진단/치료제/백신 개발 등),+8.07%,-1.42%,353611,3536.1,73
2026-06-29,마리화나(대마),+7.94%,-0.64%,11221,112.2,10
2026-06-29,폴더블폰,+7.93%,-2.36%,13195514,131955.1,24
2026-06-29,코로나19(진단키트),+7.89%,-1.40%,48491,484.9,40
2026-06-29,건설기계,+7.88%,-1.79%,67361,673.6,16
2026-06-29,증강현실(AR),+7.87%,-1.77%,53809,538.1,21
2026-06-29,요소수,+7.87%,-1.95%,5155,51.5,5
2026-06-29,방위산업/전쟁 및 테러,+7.81%,-2.33%,1146022,11460.2,67
2026-06-29,모바일게임(스마트폰),+7.80%,-1.74%,340660,3406.6,36
2026-06-29,모바일솔루션(스마트폰),+7.78%,-2.06%,19404,194.0,23
2026-06-29,셰일가스(Shale Gas),+7.77%,-2.24%,504716,5047.2,11
2026-06-29,스마트그리드(지능형전력망),+7.72%,-2.25%,310167,3101.7,20
2026-06-29,석유화학,+7.70%,-1.66%,276174,2761.7,18
2026-06-29,수자원(양적/질적 개선),+7.70%,-0.74%,773123,7731.2,27
2026-06-29,제약업체,+7.69%,-1.16%,561542,5615.4,86
2026-06-29,전기차 화재 방지(배터리 열폭주 등),+7.66%,-1.97%,58685,586.9,28
2026-06-29,니켈,+7.65%,-2.18%,638133,6381.3,14
2026-06-29,치아 치료(임플란트 등),+7.64%,-1.44%,22431,224.3,14
2026-06-29,골프,+7.60%,+0.42%,40180,401.8,15
2026-06-29,스테이블코인,+7.60%,-2.22%,325448,3254.5,25
2026-06-29,콜드체인(저온 유통),+7.50%,-1.47%,20344,203.4,12
2026-06-29,태양광에너지,+7.47%,-0.61%,2231904,22319.0,44
2026-06-29,마이데이터,+7.39%,-3.67%,224315,2243.2,11
2026-06-29,STO(토큰증권 발행),+7.37%,-2.28%,540459,5404.6,25
2026-06-29,전기차,+7.31%,-1.70%,2855498,28555.0,98
2026-06-29,마켓컬리(kurly),+7.31%,-1.59%,55050,550.5,10
2026-06-29,야놀자(Yanolja),+7.31%,-2.46%,30844,308.4,5
2026-06-29,재난/안전(지진/화재 등),+7.29%,-0.45%,30424,304.2,21
2026-06-29,건설 대표주,+7.25%,-1.11%,654523,6545.2,6
2026-06-29,전기차(충전소/충전기),+7.24%,-1.63%,1099473,10994.7,25
2026-06-29,제습기,+7.22%,-1.18%,11696764,116967.6,8
2026-06-29,시멘트/레미콘,+7.19%,-2.07%,205756,2057.6,15
2026-06-29,두나무(Dunamu),+7.19%,-2.16%,101392,1013.9,11
2026-06-29,카메라모듈/부품,+7.16%,-2.02%,1870310,18703.1,27
2026-06-29,마이코플라스마 폐렴,+7.13%,-1.40%,5320,53.2,12
2026-06-29,자동차 대표주,+7.12%,-2.03%,1002335,10023.4,7
2026-06-29,콩/대두,+7.11%,-1.38%,899,9.0,5
