date,theme,chg,chg_3d,value_mil,value_eok,count
2026-06-09,소캠(SOCAMM),+11.89%,-3.44%,21744046,217440.5,11
2026-06-09,HBM(고대역폭메모리),+10.85%,-3.07%,22696221,226962.2,33
2026-06-09,온디바이스 AI,+10.75%,-3.66%,25823213,258232.1,24
2026-06-09,반도체 대표주(생산),+10.71%,-5.08%,21393734,213937.3,3
2026-06-09,반도체 장비,+10.01%,-2.17%,3932220,39322.2,94
2026-06-09,반도체 기판(FC-BGA/PCB/MLB 등),+9.29%,-2.68%,4432909,44329.1,14
2026-06-09,뉴로모픽 반도체,+8.68%,-4.84%,9095113,90951.1,7
2026-06-09,반도체 재료/부품,+8.65%,-3.10%,1051807,10518.1,69
2026-06-09,CXL(컴퓨트익스프레스링크),+8.56%,-3.43%,21557554,215575.5,13
2026-06-09,시스템반도체,+8.38%,-4.21%,23246479,232464.8,57
2026-06-09,PCB(FPCB 등),+8.33%,-3.61%,3631346,36313.5,31
2026-06-09,MLCC(적층세라믹콘덴서),+8.08%,-1.53%,3343231,33432.3,11
2026-06-09,생명보험,+7.71%,-0.85%,422508,4225.1,5
2026-06-09,지역화폐,+7.57%,-4.97%,10844,108.4,5
2026-06-09,마이크로 LED,+7.48%,-5.41%,10448571,104485.7,11
2026-06-09,LED장비,+7.46%,-3.68%,539656,5396.6,11
2026-06-09,전선,+7.44%,-4.91%,295802,2958.0,8
2026-06-09,핵융합에너지,+7.30%,-3.63%,394653,3946.5,8
2026-06-09,전자파,+7.27%,-1.96%,254304,2543.0,12
2026-06-09,손해보험,+7.15%,-1.25%,256020,2560.2,8
2026-06-09,마이크로바이옴,+7.11%,-2.57%,82543,825.4,18
2026-06-09,광통신(광케이블/광섬유 등),+7.11%,-2.09%,1043254,10432.5,14
2026-06-09,日 수출 규제(국산화 등),+6.82%,-2.82%,291925,2919.2,20
2026-06-09,유리 기판,+6.76%,-3.61%,3219648,32196.5,20
2026-06-09,야놀자(Yanolja),+6.75%,-3.72%,112237,1122.4,5
2026-06-09,면세점,+6.57%,-0.34%,178310,1783.1,8
2026-06-09,전력반도체,+6.55%,-3.92%,21579047,215790.5,19
2026-06-09,우주태양광(페로브스카이트 등),+6.43%,-3.20%,253519,2535.2,10
