date,theme,chg,chg_3d,value_mil,value_eok,count
2026-06-10,백화점,+4.62%,+0.69%,202983,2029.8,6
2026-06-10,시멘트/레미콘,+3.60%,-0.86%,40078,400.8,15
2026-06-10,남-북-러 가스관사업,+3.15%,-1.03%,142011,1420.1,13
2026-06-10,조선,+2.59%,-2.93%,732761,7327.6,7
2026-06-10,조선기자재,+2.50%,-2.53%,288869,2888.7,36
2026-06-10,리츠(REITs),+2.33%,-0.13%,31171,311.7,22
2026-06-10,화학섬유,+2.32%,-1.18%,41122,411.2,6
2026-06-10,고체산화물 연료전지(SOFC),+2.21%,-3.24%,243755,2437.6,13
2026-06-10,홈쇼핑,+1.86%,-0.21%,54469,544.7,5
2026-06-10,강관업체(Steel pipe),+1.66%,-1.72%,142997,1430.0,11
2026-06-10,풍력에너지,+1.65%,-2.58%,1245122,12451.2,36
2026-06-10,철강 주요종목,+1.61%,-1.82%,187904,1879.0,11
2026-06-10,일자리(취업),+1.57%,-1.74%,6918,69.2,9
2026-06-10,면세점,+1.57%,+0.26%,178388,1783.9,8
2026-06-10,소매유통,+1.56%,-0.54%,251631,2516.3,20
2026-06-10,카지노,+1.51%,+0.05%,35014,350.1,6
2026-06-10,"주류업(주정, 에탄올 등)",+1.26%,-0.65%,8374,83.7,13
2026-06-10,은행,+1.26%,+0.49%,1085370,10853.7,11
2026-06-10,마스크,+1.08%,-1.32%,16439,164.4,22
2026-06-10,서울고속버스터미널 재개발 수혜,+1.05%,-2.31%,123732,1237.3,5
2026-06-10,철강 중소형,+1.02%,-1.26%,153563,1535.6,36
2026-06-10,LNG(액화천연가스),+1.02%,-2.14%,1123726,11237.3,26
2026-06-10,렌터카,+1.00%,-2.07%,2224,22.2,4
2026-06-10,줄기세포,+0.89%,-2.30%,46178,461.8,18
2026-06-10,호텔/리조트,+0.84%,-0.28%,490969,4909.7,14
2026-06-10,자원개발,+0.80%,-1.23%,377439,3774.4,14
2026-06-10,수자원(양적/질적 개선),+0.80%,-1.75%,517344,5173.4,27
2026-06-10,광고,+0.68%,-0.87%,22952,229.5,25
2026-06-10,도시가스,+0.55%,-0.76%,11247,112.5,9
2026-06-10,셰일가스(Shale Gas),+0.55%,-2.21%,372034,3720.3,11
2026-06-10,부동산 보유 자산주,+0.47%,-1.24%,175677,1756.8,22
2026-06-10,패션/의류,+0.37%,-1.19%,475027,4750.3,59
2026-06-10,태양광에너지,+0.35%,-2.55%,2361526,23615.3,44
