date,theme,chg,chg_3d,value_mil,value_eok,count
2026-06-22,반도체 대표주(생산),+5.64%,+1.93%,23284236,232842.4,3
2026-06-22,반도체 기판(FC-BGA/PCB/MLB 등),+2.75%,-1.63%,2710100,27101.0,14
2026-06-22,마스크,+2.36%,-1.82%,25078,250.8,22
2026-06-22,반도체 재료/부품,+2.14%,-1.79%,1441076,14410.8,69
2026-06-22,철강 중소형,+2.03%,-0.83%,169888,1698.9,36
2026-06-22,LED장비,+1.69%,-0.01%,608926,6089.3,11
2026-06-22,온디바이스 AI,+1.43%,-1.84%,27283800,272838.0,24
2026-06-22,공기청정기,+1.30%,-1.80%,9394642,93946.4,12
2026-06-22,HBM(고대역폭메모리),+1.22%,-1.60%,23847317,238473.2,33
2026-06-22,유리 기판,+1.11%,-1.69%,2174216,21742.2,20
2026-06-22,남-북-러 가스관사업,+0.97%,-1.77%,60404,604.0,13
2026-06-22,건설 대표주,+0.92%,-4.26%,791817,7918.2,6
2026-06-22,소캠(SOCAMM),+0.90%,-1.26%,23433707,234337.1,11
2026-06-22,김밥(냉동김밥 등),+0.85%,+0.98%,3094,30.9,6
2026-06-22,무선충전기술,+0.84%,-1.30%,9891957,98919.6,12
2026-06-22,반도체 장비,+0.82%,-1.69%,3212590,32125.9,95
2026-06-22,시스템반도체,+0.80%,-2.02%,24895099,248951.0,57
2026-06-22,CXL(컴퓨트익스프레스링크),+0.78%,-1.77%,23398116,233981.2,13
2026-06-22,"주류업(주정, 에탄올 등)",+0.77%,+0.80%,119251,1192.5,13
2026-06-22,그래핀,+0.74%,-2.01%,26256,262.6,13
2026-06-22,日제품 불매운동(수혜),+0.65%,-0.72%,117181,1171.8,20
2026-06-22,IT 대표주,+0.45%,-0.21%,24238890,242388.9,6
2026-06-22,日 수출 규제(국산화 등),+0.35%,-1.55%,389654,3896.5,19
2026-06-22,OLED(유기 발광 다이오드),+0.26%,-1.51%,10637916,106379.2,79
2026-06-22,콜드체인(저온 유통),+0.25%,-2.05%,23308,233.1,12
2026-06-22,여름,+0.11%,-0.93%,316710,3167.1,28
2026-06-22,스마트홈(홈네트워크),+0.04%,-1.58%,9446872,94468.7,23
2026-06-22,기업인수목적회사(SPAC),-0.01%,-0.18%,11131,111.3,72
2026-06-22,냉각시스템(액침냉각 등),-0.01%,-2.53%,1206266,12062.7,13
2026-06-22,NI(네트워크통합),-0.06%,-1.91%,3139,31.4,7
2026-06-22,제습기,-0.21%,-1.74%,9327159,93271.6,8
2026-06-22,야놀자(Yanolja),-0.25%,-3.06%,42477,424.8,5
2026-06-22,전력반도체,-0.28%,-1.17%,23380140,233801.4,19
2026-06-22,유심(USIM),-0.28%,-2.58%,1552,15.5,5
2026-06-22,캐릭터상품,-0.32%,-1.34%,6033,60.3,9
2026-06-22,시멘트/레미콘,-0.46%,+1.02%,134934,1349.3,15
2026-06-22,리모델링/인테리어,-0.52%,-2.74%,25090,250.9,24
2026-06-22,자전거,-0.54%,-1.35%,1400,14.0,3
2026-06-22,DMZ 평화공원,-0.57%,-2.23%,12618,126.2,18
2026-06-22,윤활유,-0.57%,-2.31%,80099,801.0,7
2026-06-22,탈모 치료,-0.58%,-0.03%,476631,4766.3,27
2026-06-22,PCB(FPCB 등),-0.65%,-2.21%,2357637,23576.4,31
2026-06-22,낙태/피임,-0.68%,+0.05%,78037,780.4,4
2026-06-22,UAM(도심항공모빌리티),-0.69%,-2.65%,1323482,13234.8,25
2026-06-22,엔젤산업,-0.71%,-1.99%,10441,104.4,26
2026-06-22,국내 상장 중국기업,-0.72%,-0.06%,16158,161.6,11
2026-06-22,"스포츠행사 수혜(올림픽, 월드컵 등)",-0.85%,-1.79%,7591,75.9,9
2026-06-22,뉴로모픽 반도체,-0.87%,-2.86%,8546806,85468.1,7
2026-06-22,우주태양광(페로브스카이트 등),-0.87%,-3.13%,153301,1533.0,10
2026-06-22,애플페이,-0.88%,-1.67%,6259,62.6,8
2026-06-22,황사/미세먼지,-0.89%,-1.40%,38668,386.7,25
2026-06-22,여행,-0.96%,-1.08%,16617,166.2,9
2026-06-22,양자암호/양자컴퓨팅,-0.96%,-2.64%,212801,2128.0,26
2026-06-22,LED,-0.97%,-1.69%,9622982,96229.8,38
2026-06-22,태양광에너지,-0.99%,-2.25%,1923184,19231.8,44
2026-06-22,드론(Drone),-0.99%,-2.21%,487498,4875.0,29
2026-06-22,제약업체,-1.02%,-1.16%,695740,6957.4,86
2026-06-22,테마파크,-1.02%,-2.38%,111227,1112.3,6
2026-06-22,면세점,-1.03%,-1.36%,89976,899.8,8
2026-06-22,보톡스(보툴리눔톡신),-1.05%,-0.80%,46900,469.0,13
2026-06-22,삼성페이,-1.06%,-1.05%,8763873,87638.7,26
2026-06-22,마이크로 LED,-1.10%,-2.08%,9330787,93307.9,11
2026-06-22,도시가스,-1.19%,-1.68%,8275,82.8,9
2026-06-22,항공기부품,-1.23%,-4.05%,623009,6230.1,15
2026-06-22,클라우드 컴퓨팅,-1.24%,-1.89%,787185,7871.9,36
2026-06-22,SI(시스템통합),-1.29%,-2.26%,616719,6167.2,30
2026-06-22,정유,-1.32%,-3.23%,72829,728.3,3
2026-06-22,출산장려정책,-1.34%,-2.10%,9159,91.6,23
2026-06-22,주유소,-1.36%,-1.91%,120597,1206.0,15
2026-06-22,게임,-1.38%,-1.21%,369813,3698.1,30
2026-06-22,백화점,-1.38%,-2.41%,95685,956.9,6
2026-06-22,종합상사,-1.38%,-3.51%,503101,5031.0,8
2026-06-22,통신,-1.39%,-2.34%,118735,1187.3,3
2026-06-22,NFT(대체불가토큰),-1.39%,-1.77%,8855893,88558.9,20
2026-06-22,밸류업(25년 기업가치 제고계획 발표),-1.39%,-1.73%,5132984,51329.8,85
2026-06-22,리츠(REITs),-1.43%,-0.37%,8780,87.8,22
2026-06-22,가상화폐(비트코인 등),-1.45%,-1.80%,76998,770.0,25
2026-06-22,강관업체(Steel pipe),-1.47%,-1.22%,66746,667.5,11
2026-06-22,온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),-1.49%,-2.31%,299828,2998.3,17
2026-06-22,미디어(방송/신문),-1.50%,-0.88%,3705,37.0,11
2026-06-22,콩/대두,-1.52%,-1.84%,1277,12.8,5
2026-06-22,창투사,-1.54%,-2.94%,58700,587.0,20
2026-06-22,태풍 및 장마,-1.57%,-1.61%,6426,64.3,10
2026-06-22,건설기계,-1.58%,-2.74%,66584,665.8,16
2026-06-22,폐기물처리,-1.59%,-1.54%,2038,20.4,5
2026-06-22,모바일콘텐츠(스마트폰/태블릿PC),-1.60%,-1.57%,2994881,29948.8,32
2026-06-22,화학섬유,-1.61%,-3.19%,32936,329.4,6
2026-06-22,코로나19(음압병실/음압구급차),-1.61%,-2.35%,9997,100.0,7
2026-06-22,조림사업,-1.62%,-1.22%,168636,1686.4,11
2026-06-22,렌터카,-1.62%,-1.12%,2399,24.0,4
2026-06-22,비철금속,-1.63%,-2.10%,65446,654.5,25
2026-06-22,부동산 보유 자산주,-1.63%,-2.42%,96593,965.9,22
2026-06-22,LPG(액화석유가스),-1.64%,-2.64%,83026,830.3,9
2026-06-22,갤럭시 부품주,-1.64%,-1.67%,10887627,108876.3,39
2026-06-22,아스콘(아스팔트 콘크리트),-1.64%,-2.66%,6352,63.5,9
2026-06-22,코리아 밸류업 지수(Korea Value-up Index),-1.64%,-1.77%,28625776,286257.8,99
2026-06-22,제지,-1.66%,-1.27%,3429,34.3,14
2026-06-22,MLCC(적층세라믹콘덴서),-1.68%,+3.75%,2331719,23317.2,11
2026-06-22,겨울,-1.69%,-1.78%,72969,729.7,22
2026-06-22,블록체인,-1.69%,-1.80%,659149,6591.5,23
2026-06-22,전기차 화재 방지(배터리 열폭주 등),-1.70%,-2.33%,48288,482.9,28
2026-06-22,일자리(취업),-1.71%,-1.85%,5062,50.6,9
2026-06-22,스마트그리드(지능형전력망),-1.77%,-1.46%,341507,3415.1,20
2026-06-22,모바일게임(스마트폰),-1.78%,-1.18%,371951,3719.5,36
2026-06-22,전자결제(전자화폐),-1.78%,-1.85%,26386,263.9,13
2026-06-22,5G(5세대 이동통신),-1.78%,-2.38%,10005055,100050.6,54
2026-06-22,농업,-1.85%,-1.62%,12016,120.2,23
2026-06-22,수소에너지(수소차/연료전지 등),-1.85%,-1.79%,1546793,15467.9,72
2026-06-22,스마트폰,-1.86%,-1.53%,9558937,95589.4,62
2026-06-22,골판지 제조,-1.88%,-0.98%,3131,31.3,10
2026-06-22,아이폰,-1.88%,-1.19%,25791720,257917.2,20
2026-06-22,토스(toss),-1.88%,-2.15%,90156,901.6,6
2026-06-22,재난/안전(지진/화재 등),-1.92%,-1.85%,15515,155.2,21
2026-06-22,전후 재건(우크라/중동 전쟁 등),-1.92%,-3.14%,1025335,10253.4,40
2026-06-22,퓨리오사AI,-1.93%,-1.71%,18928,189.3,11
2026-06-22,원자력발전소 해체,-1.94%,-2.84%,413535,4135.4,15
2026-06-22,리튬,-1.96%,-2.63%,671053,6710.5,22
2026-06-22,음식료업종,-1.97%,-1.25%,120108,1201.1,66
2026-06-22,두나무(Dunamu),-1.97%,-2.37%,101896,1019.0,11
2026-06-22,마켓컬리(kurly),-1.98%,-2.70%,69004,690.0,10
2026-06-22,페라이트,-1.98%,-0.41%,222563,2225.6,14
2026-06-22,수자원(양적/질적 개선),-2.00%,-1.36%,623846,6238.5,27
2026-06-22,구제역/광우병 수혜,-2.01%,-1.28%,7652,76.5,20
2026-06-22,3D 프린터,-2.02%,-3.15%,62246,622.5,11
2026-06-22,2025 하반기 신규상장,-2.02%,-1.60%,276774,2767.7,66
2026-06-22,화장품,-2.03%,-1.49%,284568,2845.7,92
2026-06-22,공작기계,-2.03%,-1.64%,28627,286.3,14
2026-06-22,지주사,-2.04%,-1.88%,4480533,44805.3,126
2026-06-22,고령화 사회(노인복지),-2.05%,-1.32%,8654872,86548.7,35
2026-06-22,GTX(수도권 광역급행철도),-2.06%,-2.66%,475034,4750.3,24
2026-06-22,화이자(PFIZER),-2.08%,-1.88%,29976,299.8,5
2026-06-22,사료,-2.10%,-1.56%,4990,49.9,18
2026-06-22,카지노,-2.12%,-1.32%,23727,237.3,6
2026-06-22,미용기기,-2.13%,-0.71%,168865,1688.7,19
2026-06-22,서울고속버스터미널 재개발 수혜,-2.13%,-2.77%,56003,560.0,5
2026-06-22,교육/온라인 교육,-2.14%,-1.61%,9109,91.1,27
2026-06-22,보안주(정보),-2.15%,-1.81%,34365,343.6,51
2026-06-22,플렉서블 디스플레이,-2.15%,-2.13%,9104030,91040.3,25
2026-06-22,재택근무/스마트워크,-2.15%,-1.41%,11390,113.9,16
2026-06-22,마이크로바이옴,-2.15%,-2.03%,37504,375.0,18
2026-06-22,치매,-2.16%,-1.25%,265674,2656.7,50
2026-06-22,2차전지(장비),-2.16%,-1.75%,258211,2582.1,47
2026-06-22,통신장비,-2.18%,-2.38%,275885,2758.8,46
2026-06-22,자율주행차,-2.18%,-2.18%,27609694,276096.9,59
2026-06-22,밸류업(24년 기업가치 제고계획 발표),-2.19%,-1.95%,22086090,220860.9,91
2026-06-22,자원개발,-2.21%,-1.72%,513399,5134.0,14
2026-06-22,건강기능식품,-2.23%,-1.08%,69669,696.7,44
2026-06-22,비료,-2.24%,-1.68%,6165,61.6,10
2026-06-22,2차전지(전고체),-2.24%,-2.09%,2432400,24324.0,30
2026-06-22,수산,-2.25%,-0.57%,3208,32.1,10
2026-06-22,바이오인식(생체인식),-2.25%,-1.86%,23458,234.6,19
2026-06-22,환율하락 수혜,-2.28%,-1.95%,365139,3651.4,23
2026-06-22,줄기세포,-2.28%,-2.17%,31857,318.6,18
2026-06-22,아프리카 돼지열병(ASF),-2.28%,-0.42%,101276,1012.8,31
2026-06-22,2차전지(소재/부품),-2.28%,-2.56%,880570,8805.7,75
2026-06-22,타이어,-2.29%,-3.19%,64397,644.0,9
2026-06-22,전력저장장치(ESS),-2.29%,-2.31%,2038443,20384.4,41
2026-06-22,2차전지,-2.30%,-2.26%,1600579,16005.8,144
2026-06-22,바이오시밀러(복제 바이오의약품),-2.30%,-1.06%,354658,3546.6,21
2026-06-22,탈 플라스틱(친환경/생분해성 등),-2.31%,-2.71%,4594,45.9,8
2026-06-22,코로나19(진단키트),-2.32%,-1.81%,38322,383.2,40
2026-06-22,방위산업/전쟁 및 테러,-2.34%,-3.04%,1269222,12692.2,67
2026-06-22,페인트,-2.34%,-1.45%,15355,153.6,8
2026-06-22,키오스크(KIOSK),-2.34%,-1.84%,3303,33.0,10
2026-06-22,핀테크(FinTech),-2.36%,-1.70%,475752,4757.5,33
2026-06-22,원격진료/비대면진료(U-Healthcare),-2.37%,-2.10%,58906,589.1,21
2026-06-22,철강 주요종목,-2.39%,-2.38%,161477,1614.8,11
2026-06-22,철도,-2.39%,-2.37%,219300,2193.0,40
2026-06-22,풍력에너지,-2.40%,-3.31%,882738,8827.4,36
2026-06-22,폐배터리,-2.44%,-2.19%,960988,9609.9,20
2026-06-22,모듈러주택,-2.44%,-2.00%,559091,5590.9,10
2026-06-22,AI 챗봇(챗GPT 등),-2.44%,-1.97%,401845,4018.4,31
2026-06-22,셰일가스(Shale Gas),-2.45%,-3.19%,347011,3470.1,11
2026-06-22,조선,-2.46%,+0.08%,621378,6213.8,7
2026-06-22,우주항공산업(누리호/인공위성 등),-2.46%,-3.91%,747949,7479.5,37
2026-06-22,원자력발전,-2.48%,-2.54%,1199541,11995.4,50
2026-06-22,핵융합에너지,-2.49%,-1.20%,310858,3108.6,8
2026-06-22,SNS(소셜네트워크서비스),-2.49%,-1.49%,250014,2500.1,10
2026-06-22,카카오뱅크(kakao BANK),-2.50%,-1.55%,269785,2697.8,11
2026-06-22,스테이블코인,-2.51%,-2.41%,452545,4525.4,25
2026-06-22,자동차부품,-2.53%,-2.30%,920244,9202.4,147
2026-06-22,광통신(광케이블/광섬유 등),-2.53%,-3.72%,309034,3090.3,14
2026-06-22,화폐/금융자동화기기(디지털화폐 등),-2.56%,-1.68%,16406,164.1,10
2026-06-22,스마트카(SMART CAR),-2.56%,-2.40%,867287,8672.9,13
2026-06-22,소매유통,-2.59%,-2.15%,133039,1330.4,20
2026-06-22,영화,-2.62%,-2.71%,24232,242.3,11
2026-06-22,비만치료제,-2.62%,-1.49%,395627,3956.3,36
2026-06-22,2026 상반기 신규상장,-2.62%,-2.94%,115464,1154.6,28
2026-06-22,가상현실(VR),-2.63%,-1.80%,9333319,93333.2,27
2026-06-22,LNG(액화천연가스),-2.63%,-2.04%,843632,8436.3,26
2026-06-22,남북경협,-2.64%,-1.18%,289004,2890.0,29
2026-06-22,STO(토큰증권 발행),-2.64%,-2.27%,491664,4916.6,25
2026-06-22,육계,-2.65%,-1.98%,5159,51.6,9
2026-06-22,니켈,-2.66%,-1.85%,396329,3963.3,14
2026-06-22,피팅(관이음쇠)/밸브,-2.66%,-2.75%,16240,162.4,9
2026-06-22,요소수,-2.67%,-1.61%,4374,43.7,5
2026-06-22,인터넷은행,-2.68%,-1.56%,376047,3760.5,31
2026-06-22,지역화폐,-2.68%,-2.31%,3983,39.8,5
2026-06-22,전기차(충전소/충전기),-2.71%,-2.52%,910563,9105.6,25
2026-06-22,2차전지(LFP/리튬인산철),-2.72%,-2.65%,222569,2225.7,12
2026-06-22,리비안(RIVIAN),-2.73%,-2.57%,387632,3876.3,21
2026-06-22,마이데이터,-2.73%,-2.00%,199899,1999.0,11
2026-06-22,패션/의류,-2.74%,-1.41%,557473,5574.7,59
2026-06-22,치아 치료(임플란트 등),-2.74%,-1.24%,17486,174.9,14
2026-06-22,의료기기,-2.74%,-1.29%,8775984,87759.8,91
2026-06-22,쿠팡(coupang),-2.74%,-2.58%,18457,184.6,21
2026-06-22,CCTV＆DVR,-2.75%,-1.37%,15502,155.0,7
2026-06-22,전력설비,-2.76%,-1.44%,1068675,10686.8,34
2026-06-22,건설 중소형,-2.76%,-1.23%,24765,247.7,26
2026-06-22,스마트팩토리(스마트공장),-2.76%,-2.30%,814221,8142.2,39
2026-06-22,초전도체,-2.78%,-1.69%,226232,2262.3,15
2026-06-22,전자파,-2.81%,-1.06%,291231,2912.3,12
2026-06-22,전기차,-2.82%,-2.07%,3057901,30579.0,98
2026-06-22,석유화학,-2.84%,-1.52%,253490,2534.9,18
2026-06-22,증권,-2.85%,-2.29%,341533,3415.3,21
2026-06-22,희귀금속(희토류 등),-2.85%,-1.37%,168042,1680.4,17
2026-06-22,호텔/리조트,-2.85%,-2.25%,112285,1122.8,14
2026-06-22,폴더블폰,-2.86%,-2.72%,10725409,107254.1,24
2026-06-22,코로나19(진단/치료제/백신 개발 등),-2.86%,-1.87%,157033,1570.3,73
2026-06-22,지능형로봇/인공지능(AI),-2.87%,-2.21%,1207506,12075.1,66
2026-06-22,인터넷 대표주,-2.89%,-2.00%,245577,2455.8,2
2026-06-22,고체산화물 연료전지(SOFC),-2.93%,-3.67%,200684,2006.8,13
2026-06-22,종합 물류,-2.94%,-1.91%,58421,584.2,16
2026-06-22,모더나(MODERNA),-2.96%,-1.12%,97120,971.2,6
2026-06-22,해저터널(지하화/지하도로 등),-2.97%,-2.28%,51427,514.3,9
2026-06-22,모바일솔루션(스마트폰),-2.97%,-2.07%,15672,156.7,23
2026-06-22,보안주(물리),-2.99%,-1.77%,23214,232.1,19
2026-06-22,마이코플라스마 폐렴,-3.00%,-0.87%,37689,376.9,12
2026-06-22,2차전지(나트륨이온),-3.02%,-2.23%,568299,5683.0,9
2026-06-22,홈쇼핑,-3.04%,-2.27%,28210,282.1,5
2026-06-22,해운,-3.07%,-2.61%,44508,445.1,6
2026-06-22,면역항암제,-3.22%,-1.63%,182635,1826.3,36
2026-06-22,전선,-3.23%,-0.12%,224809,2248.1,8
2026-06-22,골프,-3.25%,-0.28%,15317,153.2,15
2026-06-22,메타버스(Metaverse),-3.26%,-2.12%,1226784,12267.8,48
2026-06-22,음원/음반,-3.27%,-1.45%,130778,1307.8,15
2026-06-22,제대혈,-3.27%,-2.53%,11946,119.5,5
2026-06-22,유전자 치료제/분석,-3.28%,-1.99%,72975,729.8,42
2026-06-22,"백신/진단시약/방역(신종플루, AI 등)",-3.29%,-1.61%,86451,864.5,43
2026-06-22,엔터테인먼트,-3.30%,-1.20%,143283,1432.8,30
2026-06-22,영상콘텐츠,-3.34%,-1.58%,39024,390.2,34
2026-06-22,피지컬 AI/휴머노이드 로봇,-3.36%,-2.98%,10857610,108576.1,42
2026-06-22,증강현실(AR),-3.37%,-1.91%,39181,391.8,21
2026-06-22,mRNA(메신저 리보핵산),-3.38%,-1.72%,90930,909.3,14
2026-06-22,탄소나노튜브(CNT),-3.39%,-2.80%,79506,795.1,5
2026-06-22,마리화나(대마),-3.41%,-0.67%,6843,68.4,10
2026-06-22,로봇(산업용/협동로봇 등),-3.41%,-2.96%,677941,6779.4,70
2026-06-22,조선기자재,-3.43%,-2.19%,173893,1738.9,36
2026-06-22,오가노이드,-3.49%,-1.75%,73473,734.7,8
2026-06-22,딥페이크(deepfake),-3.51%,-2.25%,9021,90.2,14
2026-06-22,카메라모듈/부품,-3.53%,-2.43%,2317980,23179.8,27
2026-06-22,음성인식,-3.54%,-1.81%,504913,5049.1,11
2026-06-22,2차전지(생산),-3.60%,-1.02%,408666,4086.7,3
2026-06-22,손해보험,-3.64%,-1.54%,100920,1009.2,8
2026-06-22,광고,-3.65%,-0.72%,17501,175.0,24
2026-06-22,코로나19(치료제/백신 개발 등),-3.84%,-1.85%,115241,1152.4,29
2026-06-22,은행,-3.95%,-2.29%,494440,4944.4,11
2026-06-22,편의점,-4.00%,-2.39%,26892,268.9,5
2026-06-22,스페이스X(SpaceX),-4.05%,-4.80%,689384,6893.8,14
2026-06-22,항공/저가 항공사(LCC),-4.21%,-1.78%,64878,648.8,9
2026-06-22,의료AI,-4.27%,-2.20%,72881,728.8,30
2026-06-22,귀금속(금/은),-4.37%,-2.18%,29689,296.9,4
2026-06-22,웹툰,-4.75%,-2.13%,251491,2514.9,15
2026-06-22,자동차 대표주,-5.42%,-3.51%,1059452,10594.5,7
2026-06-22,생명보험,-9.82%,+0.43%,345112,3451.1,5
