date,theme,chg,chg_3d,value_mil,value_eok,count
2026-07-02,건설 중소형,+4.55%,+6.96%,1060446,10604.5,26
2026-07-02,은행,+3.01%,+1.68%,885971,8859.7,11
2026-07-02,편의점,+2.75%,+1.74%,29767,297.7,5
2026-07-02,캐릭터상품,+2.26%,+3.20%,5845,58.5,9
2026-07-02,인터넷 대표주,+1.28%,+0.98%,308928,3089.3,2
2026-07-02,"스포츠행사 수혜(올림픽, 월드컵 등)",+1.14%,+2.37%,8061,80.6,9
2026-07-02,손해보험,+1.12%,+1.51%,146772,1467.7,8
2026-07-02,카지노,+1.04%,+1.54%,32506,325.1,6
2026-07-02,환율하락 수혜,+1.01%,+1.59%,567056,5670.6,23
2026-07-02,소매유통,+0.97%,+1.27%,207802,2078.0,19
2026-07-02,호텔/리조트,+0.90%,+1.96%,145736,1457.4,14
2026-07-02,육계,+0.87%,+1.98%,3494,34.9,9
2026-07-02,음원/음반,+0.83%,+2.82%,223183,2231.8,15
2026-07-02,겨울,+0.72%,+1.87%,149616,1496.2,22
2026-07-02,자원개발,+0.70%,+1.98%,452426,4524.3,14
2026-07-02,음식료업종,+0.61%,+2.07%,241617,2416.2,66
2026-07-02,건강기능식품,+0.52%,+2.10%,121715,1217.2,44
2026-07-02,생명보험,+0.50%,-0.62%,202871,2028.7,5
2026-07-02,마리화나(대마),+0.49%,+4.04%,34798,348.0,10
2026-07-02,항공/저가 항공사(LCC),+0.48%,+0.17%,215925,2159.2,9
2026-07-02,카카오뱅크(kakao BANK),+0.43%,+2.66%,547655,5476.6,11
2026-07-02,통신,+0.37%,+0.03%,105822,1058.2,3
2026-07-02,리모델링/인테리어,+0.36%,+2.44%,64468,644.7,24
2026-07-02,정유,+0.33%,+4.76%,107254,1072.5,3
2026-07-02,골판지 제조,+0.25%,+1.71%,3380,33.8,10
2026-07-02,윤활유,+0.20%,+2.80%,110621,1106.2,7
2026-07-02,조림사업,+0.14%,+3.54%,302221,3022.2,11
2026-07-02,도시가스,+0.06%,+0.89%,7205,72.0,9
2026-07-02,모바일게임(스마트폰),-0.04%,+4.32%,433097,4331.0,36
2026-07-02,엔젤산업,-0.04%,+1.55%,11154,111.5,26
2026-07-02,콩/대두,-0.04%,+1.96%,833,8.3,5
2026-07-02,패션/의류,-0.07%,+1.35%,588885,5888.9,59
2026-07-02,홈쇼핑,-0.08%,+2.20%,48663,486.6,4
2026-07-02,자동차 대표주,-0.10%,+1.91%,1182635,11826.4,7
2026-07-02,기업인수목적회사(SPAC),-0.13%,+0.07%,3724,37.2,73
2026-07-02,화장품,-0.19%,+3.09%,859880,8598.8,92
2026-07-02,출산장려정책,-0.38%,+1.52%,8846,88.5,23
2026-07-02,"주류업(주정, 에탄올 등)",-0.39%,+1.84%,29507,295.1,13
2026-07-02,해저터널(지하화/지하도로 등),-0.39%,+5.55%,152282,1522.8,9
2026-07-02,LPG(액화석유가스),-0.44%,+2.56%,113458,1134.6,9
2026-07-02,사료,-0.49%,+1.43%,6177,61.8,18
2026-07-02,보톡스(보툴리눔톡신),-0.49%,+3.12%,119133,1191.3,13
2026-07-02,인터넷은행,-0.50%,+2.45%,632401,6324.0,31
2026-07-02,해운,-0.53%,+1.84%,47550,475.5,6
2026-07-02,리츠(REITs),-0.53%,+0.74%,9387,93.9,22
2026-07-02,제지,-0.58%,+2.40%,3450,34.5,14
2026-07-02,엔터테인먼트,-0.64%,+2.82%,227291,2272.9,31
2026-07-02,남북경협,-0.67%,+2.72%,369105,3691.1,29
2026-07-02,주유소,-0.68%,+1.89%,150025,1500.2,15
2026-07-02,타이어,-0.72%,+1.86%,68059,680.6,9
2026-07-02,구제역/광우병 수혜,-0.77%,+2.30%,10114,101.1,20
2026-07-02,게임,-0.77%,+4.42%,399620,3996.2,30
2026-07-02,음성인식,-0.86%,+2.16%,602376,6023.8,11
2026-07-02,면세점,-0.87%,+2.24%,109085,1090.8,8
2026-07-02,마이크로바이옴,-0.91%,+3.07%,114823,1148.2,18
2026-07-02,여행,-0.96%,+3.03%,15193,151.9,9
2026-07-02,日제품 불매운동(수혜),-0.96%,+1.68%,25610,256.1,20
2026-07-02,수산,-1.05%,+2.68%,6619,66.2,10
2026-07-02,모바일콘텐츠(스마트폰/태블릿PC),-1.06%,+2.83%,2569984,25699.8,32
2026-07-02,교육/온라인 교육,-1.08%,+1.85%,6698,67.0,27
2026-07-02,바이오시밀러(복제 바이오의약품),-1.11%,+2.71%,520759,5207.6,21
2026-07-02,SNS(소셜네트워크서비스),-1.12%,+1.96%,312268,3122.7,10
2026-07-02,김밥(냉동김밥 등),-1.21%,+3.04%,1844,18.4,6
2026-07-02,마이데이터,-1.23%,+3.22%,238651,2386.5,11
2026-07-02,"백신/진단시약/방역(신종플루, AI 등)",-1.26%,+1.72%,145847,1458.5,43
2026-07-02,부동산 보유 자산주,-1.31%,+1.85%,110098,1101.0,22
2026-07-02,종합 물류,-1.35%,+2.84%,53620,536.2,16
2026-07-02,페인트,-1.35%,+1.54%,18655,186.6,8
2026-07-02,여름,-1.36%,+2.43%,160085,1600.8,28
2026-07-02,석유화학,-1.40%,+2.18%,269020,2690.2,18
2026-07-02,미용기기,-1.40%,+3.55%,447533,4475.3,19
2026-07-02,황사/미세먼지,-1.42%,+2.54%,42734,427.3,25
2026-07-02,밸류업(24년 기업가치 제고계획 발표),-1.42%,+1.82%,24584197,245842.0,91
2026-07-02,밸류업(25년 기업가치 제고계획 발표),-1.45%,+2.37%,5224500,52245.0,84
2026-07-02,철강 주요종목,-1.47%,+1.54%,144854,1448.5,11
2026-07-02,탈모 치료,-1.47%,+1.49%,97535,975.4,27
2026-07-02,화학섬유,-1.48%,+1.70%,16371,163.7,6
2026-07-02,지주사,-1.51%,+2.32%,4537828,45378.3,127
