date,theme,chg,chg_3d,value_mil,value_eok,count
2026-06-28,백화점,+4.91%,-0.06%,303145,3031.4,6
2026-06-28,건설 중소형,+1.50%,-1.14%,129241,1292.4,26
2026-06-28,소매유통,+0.50%,-1.28%,344184,3441.8,20
2026-06-28,골프,+0.47%,-0.96%,38176,381.8,15
2026-06-28,통신,+0.34%,-0.75%,135619,1356.2,3
2026-06-28,기업인수목적회사(SPAC),0.00%,-0.02%,2332,23.3,72
2026-06-28,그래핀,-0.33%,-3.86%,23399,234.0,13
2026-06-28,렌터카,-0.91%,-0.87%,2568,25.7,4
2026-06-28,도시가스,-0.92%,-0.94%,10623,106.2,9
2026-06-28,타이어,-1.01%,-1.63%,171761,1717.6,9
2026-06-28,재난/안전(지진/화재 등),-1.03%,-1.35%,51135,511.4,21
2026-06-28,홈쇼핑,-1.10%,-0.61%,41362,413.6,5
2026-06-28,리츠(REITs),-1.12%,-0.36%,11671,116.7,22
2026-06-28,교육/온라인 교육,-1.20%,-1.67%,10597,106.0,27
2026-06-28,부동산 보유 자산주,-1.21%,-1.42%,171803,1718.0,22
2026-06-28,태풍 및 장마,-1.42%,-0.42%,24559,245.6,10
2026-06-28,LED장비,-1.49%,-3.55%,653382,6533.8,11
2026-06-28,"스포츠행사 수혜(올림픽, 월드컵 등)",-1.59%,-1.86%,15815,158.2,9
2026-06-28,"주류업(주정, 에탄올 등)",-1.62%,-0.15%,144272,1442.7,13
2026-06-28,구제역/광우병 수혜,-1.66%,-1.73%,9709,97.1,20
2026-06-28,코로나19(음압병실/음압구급차),-1.70%,-1.73%,34360,343.6,7
2026-06-28,미디어(방송/신문),-1.75%,-1.78%,4759,47.6,11
2026-06-28,제지,-1.79%,-1.24%,8436,84.4,14
2026-06-28,보톡스(보툴리눔톡신),-1.81%,-0.79%,142500,1425.0,13
2026-06-28,육계,-1.84%,-2.00%,5435,54.4,9
2026-06-28,GTX(수도권 광역급행철도),-1.89%,-1.68%,591448,5914.5,24
2026-06-28,음식료업종,-1.91%,-1.16%,160619,1606.2,66
2026-06-28,김밥(냉동김밥 등),-1.93%,-2.59%,1464,14.6,6
2026-06-28,수산,-2.00%,-1.43%,3593,35.9,10
2026-06-28,사료,-2.00%,-0.63%,11048,110.5,18
2026-06-28,공기청정기,-2.00%,-2.21%,12416783,124167.8,12
2026-06-28,면세점,-2.04%,-1.10%,147988,1479.9,8
2026-06-28,여름,-2.06%,-1.47%,255592,2555.9,28
2026-06-28,편의점,-2.10%,-0.38%,29967,299.7,5
2026-06-28,골판지 제조,-2.11%,-3.39%,6895,69.0,10
2026-06-28,손해보험,-2.18%,-1.47%,146952,1469.5,8
2026-06-28,클라우드 컴퓨팅,-2.18%,-1.81%,1211248,12112.5,36
2026-06-28,출산장려정책,-2.19%,-1.01%,18906,189.1,23
2026-06-28,반도체 장비,-2.23%,-3.72%,3081207,30812.1,95
2026-06-28,마리화나(대마),-2.23%,-1.66%,34442,344.4,10
2026-06-28,공작기계,-2.26%,-1.59%,37844,378.4,14
2026-06-28,비료,-2.28%,-1.89%,9680,96.8,10
2026-06-28,농업,-2.34%,-1.68%,15426,154.3,23
2026-06-28,카지노,-2.38%,-1.80%,24688,246.9,6
2026-06-28,재택근무/스마트워크,-2.38%,-2.38%,13268,132.7,16
2026-06-28,겨울,-2.39%,-1.09%,93643,936.4,22
2026-06-28,서울고속버스터미널 재개발 수혜,-2.40%,+0.26%,110839,1108.4,5
2026-06-28,SNS(소셜네트워크서비스),-2.41%,-1.09%,354291,3542.9,10
2026-06-28,인터넷 대표주,-2.43%,-2.85%,346659,3466.6,2
2026-06-28,모바일게임(스마트폰),-2.49%,-2.71%,409691,4096.9,36
2026-06-28,리모델링/인테리어,-2.51%,-2.20%,41201,412.0,24
2026-06-28,영화,-2.51%,-4.03%,40041,400.4,11
2026-06-28,황사/미세먼지,-2.52%,-2.56%,58587,585.9,25
2026-06-28,시멘트/레미콘,-2.52%,-0.63%,348406,3484.1,15
2026-06-28,블록체인,-2.54%,-2.15%,1246205,12462.0,23
2026-06-28,주유소,-2.59%,-1.43%,157642,1576.4,15
2026-06-28,키오스크(KIOSK),-2.61%,-2.39%,4028,40.3,10
2026-06-28,수자원(양적/질적 개선),-2.66%,-1.49%,753789,7537.9,27
2026-06-28,밸류업(25년 기업가치 제고계획 발표),-2.66%,-1.15%,4377071,43770.7,85
2026-06-28,자동차부품,-2.67%,-2.34%,973059,9730.6,147
2026-06-28,환율하락 수혜,-2.67%,-0.94%,533663,5336.6,23
2026-06-28,LED,-2.67%,-2.27%,12442547,124425.5,38
2026-06-28,아스콘(아스팔트 콘크리트),-2.70%,-1.07%,32560,325.6,9
2026-06-28,페인트,-2.72%,-1.35%,32945,329.4,8
2026-06-28,지주사,-2.75%,-1.62%,4339272,43392.7,126
2026-06-28,화장품,-2.78%,-1.49%,533866,5338.7,92
2026-06-28,음성인식,-2.78%,-3.05%,590607,5906.1,11
2026-06-28,여행,-2.79%,-1.68%,12546,125.5,9
2026-06-28,화학섬유,-2.79%,-1.30%,20279,202.8,6
2026-06-28,윤활유,-2.79%,-1.30%,110824,1108.2,7
2026-06-28,게임,-2.83%,-2.81%,405499,4055.0,30
2026-06-28,폐기물처리,-2.84%,-1.76%,13581,135.8,5
2026-06-28,페라이트,-2.84%,-3.76%,26204,262.0,14
2026-06-28,UAM(도심항공모빌리티),-2.85%,-2.19%,1729582,17295.8,25
2026-06-28,스마트폰,-2.86%,-3.46%,12991810,129918.1,62
2026-06-28,애플페이,-2.92%,-1.65%,9487,94.9,8
2026-06-28,반도체 기판(FC-BGA/PCB/MLB 등),-2.92%,-4.08%,3618802,36188.0,14
2026-06-28,쿠팡(coupang),-2.95%,-2.48%,45714,457.1,21
2026-06-28,코리아 밸류업 지수(Korea Value-up Index),-2.97%,-1.69%,37512700,375127.0,99
2026-06-28,아프리카 돼지열병(ASF),-3.00%,-1.25%,47752,477.5,31
2026-06-28,밸류업(24년 기업가치 제고계획 발표),-3.01%,-1.42%,26971822,269718.2,91
2026-06-28,코로나19(진단키트),-3.03%,-2.13%,42206,422.1,40
2026-06-28,모바일콘텐츠(스마트폰/태블릿PC),-3.04%,-2.08%,2369106,23691.1,32
2026-06-28,종합 물류,-3.05%,-1.75%,61686,616.9,16
2026-06-28,반도체 재료/부품,-3.06%,-3.92%,795500,7955.0,69
2026-06-28,3D 프린터,-3.11%,-2.88%,82227,822.3,11
2026-06-28,핀테크(FinTech),-3.12%,-2.20%,932261,9322.6,33
2026-06-28,웹툰,-3.15%,-3.15%,354376,3543.8,15
2026-06-28,리비안(RIVIAN),-3.16%,-3.60%,364629,3646.3,21
2026-06-28,콩/대두,-3.16%,-1.41%,1316,13.2,5
2026-06-28,SI(시스템통합),-3.17%,-2.49%,969694,9696.9,30
2026-06-28,화이자(PFIZER),-3.18%,-0.69%,33689,336.9,5
2026-06-28,카카오뱅크(kakao BANK),-3.19%,-1.35%,308063,3080.6,11
2026-06-28,비철금속,-3.20%,-2.49%,63339,633.4,25
2026-06-28,NI(네트워크통합),-3.21%,-2.40%,4080,40.8,7
2026-06-28,은행,-3.21%,-1.00%,559901,5599.0,11
2026-06-28,드론(Drone),-3.23%,-2.57%,679486,6794.9,29
2026-06-28,갤럭시 부품주,-3.23%,-3.64%,14650152,146501.5,39
2026-06-28,인터넷은행,-3.24%,-1.54%,409126,4091.3,31
2026-06-28,제약업체,-3.27%,-1.17%,423694,4236.9,86
2026-06-28,요소수,-3.27%,-2.30%,6008,60.1,5
2026-06-28,자원개발,-3.29%,+0.11%,522254,5222.5,14
2026-06-28,엔젤산업,-3.32%,-1.76%,19999,200.0,26
2026-06-28,치아 치료(임플란트 등),-3.36%,-1.96%,23113,231.1,14
2026-06-28,OLED(유기 발광 다이오드),-3.39%,-3.24%,13610120,136101.2,79
2026-06-28,수소에너지(수소차/연료전지 등),-3.40%,-2.47%,2211512,22115.1,72
2026-06-28,HBM(고대역폭메모리),-3.40%,-3.99%,32051026,320510.3,33
2026-06-28,고령화 사회(노인복지),-3.41%,-1.43%,12060528,120605.3,35
2026-06-28,테마파크,-3.42%,-1.96%,117572,1175.7,6
2026-06-28,日제품 불매운동(수혜),-3.43%,-1.21%,144558,1445.6,20
2026-06-28,카메라모듈/부품,-3.44%,-3.20%,3121378,31213.8,27
2026-06-28,의료AI,-3.44%,-2.71%,88249,882.5,30
2026-06-28,호텔/리조트,-3.48%,-1.76%,134878,1348.8,14
2026-06-28,철강 주요종목,-3.52%,-1.99%,216893,2168.9,11
2026-06-28,엔터테인먼트,-3.54%,-2.27%,157319,1573.2,30
2026-06-28,마이코플라스마 폐렴,-3.55%,-1.78%,7355,73.5,12
2026-06-28,광고,-3.57%,-2.30%,16084,160.8,24
2026-06-28,일자리(취업),-3.57%,-2.17%,6317,63.2,9
2026-06-28,AI 챗봇(챗GPT 등),-3.59%,-2.82%,638228,6382.3,31
2026-06-28,해운,-3.60%,-1.81%,42822,428.2,6
2026-06-28,제습기,-3.61%,-2.31%,12303696,123037.0,8
2026-06-28,보안주(물리),-3.62%,-1.84%,26384,263.8,19
2026-06-28,냉각시스템(액침냉각 등),-3.63%,-1.78%,1296261,12962.6,13
2026-06-28,귀금속(금/은),-3.63%,-3.30%,43222,432.2,4
2026-06-28,철강 중소형,-3.65%,-1.45%,235859,2358.6,36
2026-06-28,철도,-3.65%,-2.40%,341067,3410.7,40
2026-06-28,토스(toss),-3.65%,-2.04%,103910,1039.1,6
2026-06-28,원격진료/비대면진료(U-Healthcare),-3.66%,-1.80%,48551,485.5,21
2026-06-28,희귀금속(희토류 등),-3.66%,-3.15%,213516,2135.2,17
2026-06-28,"백신/진단시약/방역(신종플루, AI 등)",-3.68%,-1.07%,126296,1263.0,43
2026-06-28,코로나19(진단/치료제/백신 개발 등),-3.68%,-1.89%,322149,3221.5,73
2026-06-28,증강현실(AR),-3.69%,-3.39%,46134,461.3,21
2026-06-28,건강기능식품,-3.69%,-0.94%,115939,1159.4,44
2026-06-28,플렉서블 디스플레이,-3.70%,-3.47%,12524978,125249.8,25
2026-06-28,남북경협,-3.71%,-1.29%,482986,4829.9,29
2026-06-28,CCTV＆DVR,-3.73%,-3.00%,16553,165.5,7
