date,theme,stock,price,chg,volume,value_mil,reason
2026-06-16,풍력에너지,동국산업,"2,755",+5.96%,934672,2691,"동국산업
												풍력발전 사업을 영위하는 동국S&C 및 신재생에너지사업(풍력발전소)을 영위하는 신안풍력발전을 자회사로 보유."
2026-06-16,풍력에너지,유니슨,973,+4.62%,27978868,29363,"유니슨
												풍력발전 사업을 주된사업으로 영위. 대규모 풍력발전단지 조성 및 운영, 유지보수사업을 영위중."
2026-06-16,풍력에너지,효성중공업,"3,892,000",+3.73%,58194,227890,"효성중공업
												효성에서 중공업 및 건설사업부문이 인적분할되어 재상장된 업체. 변압기, 차단기, 전동기, 감속기 등 전력기기(중공업) 사업을 영위하고 있으며, 아파트 및 오피스텔 공사 등 건설 사업도 영위. 저탄소 친환경 디지털 사회로의 변화에 대응하여 풍력발전소 및 데이터센터에 배전변압기 및 전장품 등의 기자재를 공급하고 있으며, 나아가 수소와 해상 풍력, 데이터센터 관련 신규 사업을 추진 중. 8.2MW급 풍력발전기용 10MVA 친환경 변압기를 개발."
2026-06-16,풍력에너지,LS머트리얼즈,"17,960",+3.70%,1337915,23748,"LS머트리얼즈
												LS그룹 계열의 중/대형 울트라커패시터(Ultra Capacitor) 생산 및 판매업체. 21년1월 LS엠트론의 울트라커패시터 사업부문이 물적분할 후 설립됐으며, 신재생에너지, 스마트팩토리내 AGV용 및 전기차 분야에 활용되는 에너지 저장장치인 중/대형 울트라커패시터(셀 및 모듈) 생산 및 판매를 주요 사업으로 영위. 23년 600F을 뛰어 넘어 800F 중형셀을 개발 및 양산에 성공하여 AGV용 및 풍력발전용 등에 신제품 출시에 성공."
2026-06-16,풍력에너지,씨엔플러스,"1,871",+3.54%,184266,366,"씨엔플러스
												21년2월 피케이풍력을 흡수합병해 재생에너지(풍력 및 태양광) 발전소 관련 사업(운송 및 설치업)을 영위중. 풍력 사업본부는 발전기 및 윈드타워 특수 운송, 설치, 유지보수 등을 진행."
2026-06-16,풍력에너지,두산에너빌리티,"103,300",+3.51%,3298532,341961,"두산에너빌리티
												해상풍력발전기 등 신재생에너지 관련 기자재를 제작. 2024년 야월해상풍력(104MW) 고정가격입찰제 낙찰에 이어, 동사의 8/10MW 모델 공급이 예정된 한동평대(110MW), 다대포(99MW), 압해(90MW), 전북서남권 시범단지(400MW) 프로젝트가 2025년 고정가격입찰에서 낙찰됨에 따라 총 793MW의 공급을 확정. 또한 글로벌 기업인 Siemens Energy와의 협력을 통해 안마해상풍력(532MW)에 공급되는 풍력터빈의 제작에도 참여할 예정."
2026-06-16,풍력에너지,우리기술,"15,560",+3.18%,10493668,165120,"우리기술
												해상풍력 전문기업인 씨지오에 대한 지분투자를 통해 해상풍력에너지 시공/설치기술을 보유하고 있으며, 2021년 12월 전라남도 신안군 압해도 소재 압해풍력발전소를 인수하여 발전용량 증설, 각종 인허가를 진행하고 있으며, 2026년 하반기 착공을 목표로 하고 있음."
2026-06-16,풍력에너지,효성,"196,800",+2.82%,35948,7203,"효성
												태백풍력발전과 평창풍력발전 지분을 보유하고 있으며, 인적분할된 계열사 효성중공업이 풍력발전기 사업 등을 영위."
2026-06-16,풍력에너지,서암기계공업,"3,500",+2.49%,32212,112,"서암기계공업
												공작기계 핵심 요소부품인 각종 기어류 제조 업체. 풍력발전기용 기어를 일본에 국한하여 판매중임."
2026-06-16,풍력에너지,케이피에프,"4,470",+2.41%,157283,709,"케이피에프
												풍력발전 프로펠러용 볼트, 너트 개발."
2026-06-16,풍력에너지,세아제강,"150,000",+2.18%,10272,1527,"세아제강
												재킷식 해상풍력 하부구조물 제작에 사용되는 후육관을 생산중. 23년5월 TaiichiO and Wolf Projects와 공급계약(해상풍력 하부구조물용 PIPE 공급 계약) 체결."
2026-06-16,풍력에너지,포메탈,"3,065",+2.00%,80564,247,"포메탈
												종합단조정밀기계부품 생산 업체. 로봇/풍력 부문 주요제품으로 샤프트, 홀드 플랜지, 감속기어 등을 생산."
2026-06-16,풍력에너지,삼영엠텍,"9,400",+1.95%,219044,2092,"삼영엠텍
												플랜트 기자재, 구조물 구조재, 선박엔진 구조재 및 풍력 기자재 등을 생산, 판매하는 주강 전문 생산업체. 풍력부품으로는 기어박스에 들어가는 가속부품인 주강품 플래닛 케리어(Planet Carrier)를 생산."
2026-06-16,풍력에너지,현대건설,"147,800",+1.93%,1894314,282811,"현대건설
												동사의 100% 자회사인 현대스틸산업은 해상풍력 지지구조물 설치, 특수선 건조(Jack-up Barge, Floating Dock) 등 철구조물 사업의 다각화 및 중장비 임대사업 등의 사업을 영위중."
2026-06-16,풍력에너지,세진중공업,"16,160",+1.51%,190647,3085,"세진중공업
												해상풍력 발전사업의 기초 구조물인 모노파일, 버켓기초, 자켓, 변전설비 등 다양한 풍력발전 설비 및 구조물 제작사업을 준비중. 19년3월 네덜란드 해양 설계 전문기업 구스토엠에스시 그룹과 해상 풍력용 부유식 하부체 제작 관련 MOU 체결했으며, 국내 해상 풍력발전 공사 공동 참여 결정. 부유식 해상풍력 발전사업 관련 울산지역업체 공급망 구축 및 장비 국산화를 위한 업무협약을 체결."
2026-06-16,풍력에너지,LS마린솔루션,"31,600",+1.28%,515567,16432,"LS마린솔루션
												해저 통신망 건설업체. 22년6월 전남해상풍력 1단지 해저케이블 건설공사 수주."
2026-06-16,풍력에너지,LS,"424,000",+1.07%,170519,72770,"LS
												자회사 LS전선이 국내 최초로 풍력발전용 전선과 풍력발전 모니터링시스템을 개발. 또한, LS엠트론은 풍력발전설비 등에 사용되는 차세대 에너지 저장장치인 울트라커패시터(UC)를 개발."
2026-06-16,풍력에너지,코오롱글로벌,"9,730",+0.83%,39992,390,"코오롱글로벌
												풍력발전사업 영위하고 있으며, 설계·조달·시공·관리 및 운영을 함께 수행중. 경주풍력발전, 양양풍력발전, 태백가덕산풍력발전 지분 보유."
2026-06-16,풍력에너지,우림피티에스,"10,000",+0.60%,168785,1684,"우림피티에스
												산업용감속기 및 트랜스미션 생산업체로 풍력발전기 부품도 생산/판매. 풍력발전기 3MW급 풍력발전기용 증속기 부품, MW급 풍력발전기용 YAW 감속기, 해상풍력용 감속기 등을 개발."
2026-06-16,풍력에너지,대창솔루션,"2,035",0.00%,547502,1107,"대창솔루션
												해양솔루션(해양플랜트부품, 해상풍력발전부품) 부문 등에 사용 되는 주강품 및 관련 제품을 생산. 19년 중국으로부터 풍력부품을 수주하여 시제품 생산."
2026-06-16,풍력에너지,한전기술,"134,600",-0.30%,190986,25879,"한전기술
												한국전력공사 계열의 발전소 및 플랜트 관련 엔지니어링 업체. 신재생에너지 분야에서 해상·육상 풍력 발전소 설계, EPC 사업을 영위중이며, 제주한림 해상풍력 발전사업 수주 및 수행 경험을 토대로 신규 육상/해상 풍력 발전사업을 발굴하고 사업에 참여."
2026-06-16,풍력에너지,POSCO홀딩스,"390,000",-1.27%,318729,124252,"POSCO홀딩스
												신안그린에너지가 전라남도 신안군 자은면 일대에 총 20기의 육상풍력발전기를 운영 중. 21년5월 글로벌 해상풍력 업체인 덴마크 오스테드와 국내 해상풍력 및 그린수소 사업 포괄적 협력을 위한 MOU를 체결. 오스테드는 국내 최대 1.6GW급 인천 해상 풍력 사업을 추진 중이며, 100% 자회사인 POSCO가 해상풍력발전 단지 구축에 필요한 풍력발전 철강재를 공급, 풍력발전을 활용한 그린수소생산에 참여할 예정."
2026-06-16,풍력에너지,DMS,"5,230",-1.69%,37157,194,"DMS
												에너지 사업 부문에서 풍력발전기 개발, 풍력발전단지 조성 사업을 영위. 기어리스(Gearless)타입 2MW풍력발전기를 개발했던 노하우를 바탕으로, 현재 200KW급 중형 발전기 개발을 완료. 풍력발전 사업을 영위하는 김천풍력발전, 호남풍력발전 지분 보유."
2026-06-16,풍력에너지,LS에코에너지,"66,500",-2.06%,232187,15587,"LS에코에너지
												LS-VINA Cable & System Joint Stock Co.가 베트남 첫 해상풍력 프로젝트를 시작으로 다수의 해상풍력 프로젝트에 해저 케이블 공급."
2026-06-16,풍력에너지,한국전력,"39,800",-3.86%,2740085,110735,"한국전력
												국가 에너지전환 목표 달성에 기여하고자 전북 서남권 해상풍력, 제주한림 해상풍력, 밀양 희망빛 태양광, 학교·공공부지 태양광 사업 등 다양한 신재생에너지 사업을 추진. 국내 최초 공공주도 대규모 해상풍력 사업인 전북 서남권 해상풍력 실증단지(60MW)를 운영중이며, 제주한림 해상풍력(100MW) 사업은 풍력단지 건설(EPC) 계약, 운영(O&M) 계약, 금융계약 등 주요 계약 절차를 완료하고 22년 1월 착공하여 25년 2월 종합 준공 완료. 이 외에도 신규사업으로 전북 서남권 해상풍력 1.2GW(시범단지 400MW, 확산단지 800MW) 사업을 정부, 지자체, 지역주민 등과 협의를 거쳐 추진하고 있으며 전남 신안지역에서는 지자체, 지역주민이 함께 참여하는 1.5GW 해상풍력단지를 개발중."
2026-06-16,생명보험,미래에셋생명,"32,250",+12.57%,6633502,214070,"미래에셋생명
												미래에셋금융그룹 계열의 업계 상위 생명보험사. 개인보험(보장성보험, 생사혼합 보험, 생존(연금) 보험, 변액 보험 등)과 단체보험(퇴직연금/보험, 단체보장성보험/저축성보험 등) 상품을 판매. 특히, 노후준비 및 은퇴설계서비스를 제공하기 위한 역량 및 최적화된 포지셔닝을 보유."
2026-06-16,생명보험,한화생명,"5,550",+5.71%,8182122,44839,"한화생명
												한화그룹 계열사로 종신보험 등 다양한 보험상품을 판매하는 국내 최초로 설립된 생명보험사."
2026-06-16,생명보험,동양생명,"8,140",+2.13%,224200,1824,"동양생명
												업계 중위권 생명보험사. 2009년 10월 국내 생명보험사 중 최초로 증시에 상장. 2013년 12월 동양그룹 기업어음(CP) 사태 이후 독립경영체제를 구축하기 위해 동양그룹으로부터 계열분리."
2026-06-16,생명보험,삼성생명,"431,000",+1.89%,250852,107204,"삼성생명
												삼성그룹 계열의 생명보험사로 국내 생명보험 시장점유율 상위권 업체."
2026-06-16,생명보험,코리안리,"14,000",+1.30%,591219,8259,"코리안리
												국내 유일의 전업 재보험(보험회사가 인수한 계약의 일부를 다른 보험회사에 인수시키는 것으로 “보험을 위한 보험”임) 회사. 손해보험업과 생명보험업 영위."
2026-06-16,항공기부품,LIG디펜스앤에어로스페이스,"1,002,000",+18.58%,953463,978863,"LIG디펜스앤에어로스페이스
												LIG그룹 계열의 종합방산업체. 항공기용 레이더, 한국형헬기 생존장비 등을 생산. 항공기에 장착되는 각종 전자구성품 및 신호를 수신/교란시키는 전자전 장비 개발."
2026-06-16,항공기부품,한화에어로스페이스,"1,183,000",+9.13%,369748,435080,"한화에어로스페이스
												한화그룹 계열의 항공엔진사업을 영위하는 업체. 국내 군수 엔진시장에서 독점적 지위를 유지하고 있으며, 2015년 P&W사와 GTF(Geared Turbo Fan) 엔진의 RSP(Risk and Revenue Sharing Program) 계약을 체결. 16년9월 엔진용 부품사업 생산 능력 확대 등을 위해 PWMS(P&W NGPF Manufacturing Company Singapore Pte. Ltd) 지분 30%를 취득."
2026-06-16,항공기부품,한국카본,"35,650",+8.69%,605817,21280,"한국카본
												대형 민간항공기의 바닥재 및 내장재 적용 유리섬유, 탄소섬유 복합재료 및 접착필름을 개발완료하여 해외 항공기 부품 제작사에 납품중이며, 고인성 항공기 구조재용 탄소섬유 복합재료 개발중. 21년8월 동사와 관계회사인 한국복합소재가 이스라엘 IAI와 걸프스트림 G280 항공기 꼬리날개 구조물 공급계약 체결."
2026-06-16,항공기부품,솔디펜스,"1,820",+6.93%,203532,369,"솔디펜스
												방산분야 전자/제어 전문업체. 항공전자 사업부문에서 초등훈련기용 전자식계기, 고등훈련기용 다기능시현기, 무인기 항법 제어 컴퓨터 생산중."
2026-06-16,항공기부품,현대위아,"86,100",+5.00%,244747,21005,"현대위아
												주요사업으로 기계사업을 영위중이며 기계사업은 모빌리티솔루션사업(RnA), 공작기계사업, 특수사업(방산부품 및 항공기 부품 등)으로 구성."
2026-06-16,항공기부품,한국항공우주,"154,900",+4.95%,597024,93317,"한국항공우주
												삼성항공, 대우중공업, 현대우주항공 항공3사의 항공사업부문이 합병해 1999년 설립된 항공기 및 항공기 부품 제조업체.국내 유일의 완제기 제조업체. Boeing, Airbus 등에 기체구조물 제작, 납품."
2026-06-16,항공기부품,휴니드,"5,800",+4.13%,287206,1695,"휴니드
												전기/항공 전자계통 장비를 생산하여 판매. 2006년 보잉사와 자본투자를 포함한 전략적 제휴를 체결한 이후, 항공부문을 중심으로 해외협력사업을 본격적으로 추진중. 2012년 보잉사와 1.25억불 규모의 항공전자장비를 공급하는 협약(MOA)를 체결했으며, 2014년 에어버스사와 협력을 확대하여 항공기 전기/전자 품목 생산 납품을 위한 유럽 항공회사의 요구조건을 충족하는 체제를 완비."
2026-06-16,항공기부품,두산에너빌리티,"103,300",+3.51%,3298532,341961,"두산에너빌리티
												최초 국산 전투기 KF-21(한국형전투기)에 3D 프린팅 기술로 제작한 부품(공기 순환 시스템을 구성하는 기자재) 공급. 24년3월 정기주주총회를 통해 '항공기 엔진 제작' 등 신사업 목적 추가. 가스터빈 기술을 활용한 정부주도과제로 항공엔진 핵심부품 기술을 개발중."
2026-06-16,항공기부품,케이피항공산업,"13,570",+2.73%,475149,6944,"케이피항공산업
												항공, 방산 및 우주사업을 주 사업으로 영위. 항공사업은 항공기 부품 가공 및 Module 조립, 치공구 제작으로 나누어지며, 방산 및 우주사업은 유도무기 금형 및 치공구 제작과 복합재 가공 등을 주요 업무로 수행. 항공사업 주요 고객은 한국항공우주산업, 대한항공, Spirit 등이 있으며, 방산 및 우주사업의 주요 고객은 스페이스프로 등이 있음."
2026-06-16,항공기부품,신화프리텍,"2,040",+2.67%,80336,162,"신화프리텍
												방산/항공(K-2, K9, K21부품,T-50부품,민항기부품 등) 부품을 제작하는 방산/항공 부문 등을 영위."
