date,theme,chg,chg_3d,value_mil,value_eok,count
2026-06-11,소캠(SOCAMM),+10.44%,-0.46%,22980613,229806.1,11
2026-06-11,육계,+10.15%,-0.55%,41490,414.9,9
2026-06-11,LED장비,+9.57%,-1.93%,1975401,19754.0,11
2026-06-11,반도체 기판(FC-BGA/PCB/MLB 등),+9.40%,-1.19%,3415954,34159.5,14
2026-06-11,HBM(고대역폭메모리),+7.82%,-1.08%,23637612,236376.1,33
2026-06-11,반도체 재료/부품,+6.79%,-0.67%,1623851,16238.5,69
2026-06-11,반도체 장비,+6.45%,-0.57%,5804192,58041.9,95
2026-06-11,자전거,+6.21%,-1.62%,5160,51.6,3
2026-06-11,유심(USIM),+5.98%,-0.61%,5853,58.5,5
2026-06-11,생명보험,+5.87%,+0.64%,461724,4617.2,5
2026-06-11,원격진료/비대면진료(U-Healthcare),+5.85%,-0.84%,188920,1889.2,21
2026-06-11,PCB(FPCB 등),+5.76%,-1.37%,2979748,29797.5,31
2026-06-11,제대혈,+5.68%,-2.32%,19401,194.0,5
2026-06-11,코로나19(음압병실/음압구급차),+5.39%,-2.02%,16683,166.8,7
2026-06-11,음원/음반,+5.34%,-1.38%,266155,2661.6,15
2026-06-11,해운,+5.12%,-1.35%,136993,1369.9,6
2026-06-11,온디바이스 AI,+5.09%,-0.95%,25600559,256005.6,24
2026-06-11,CXL(컴퓨트익스프레스링크),+4.88%,-1.45%,22425558,224255.6,13
2026-06-11,MLCC(적층세라믹콘덴서),+4.65%,-2.26%,2320160,23201.6,11
2026-06-11,공기청정기,+4.52%,-2.65%,10029454,100294.5,12
2026-06-11,시스템반도체,+4.45%,-1.48%,24192940,241929.4,57
2026-06-11,냉각시스템(액침냉각 등),+4.32%,-2.04%,1231041,12310.4,13
2026-06-11,스페이스X(SpaceX),+4.24%,-1.39%,1372185,13721.9,12
2026-06-11,"스포츠행사 수혜(올림픽, 월드컵 등)",+4.13%,-0.78%,37546,375.5,9
2026-06-11,엔터테인먼트,+4.07%,-1.28%,274174,2741.7,31
2026-06-11,플렉서블 디스플레이,+3.88%,-1.66%,10920857,109208.6,25
2026-06-11,핵융합에너지,+3.86%,-0.88%,474715,4747.1,8
2026-06-11,OLED(유기 발광 다이오드),+3.85%,-1.64%,12564214,125642.1,79
2026-06-11,전력반도체,+3.69%,-2.10%,22624151,226241.5,19
2026-06-11,광통신(광케이블/광섬유 등),+3.62%,-1.96%,851485,8514.9,14
2026-06-11,석유화학,+3.60%,-0.87%,493091,4930.9,17
2026-06-11,유리 기판,+3.42%,-1.95%,2223042,22230.4,20
2026-06-11,2차전지(나트륨이온),+3.42%,-2.52%,756371,7563.7,9
2026-06-11,우주태양광(페로브스카이트 등),+3.24%,-0.96%,246254,2462.5,10
2026-06-11,여름,+3.16%,-0.67%,332110,3321.1,28
2026-06-11,3D 프린터,+3.09%,-2.52%,286274,2862.7,11
2026-06-11,백화점,+3.08%,+2.19%,292446,2924.5,6
2026-06-11,태풍 및 장마,+3.05%,-0.68%,10854,108.5,10
2026-06-11,전자파,+3.01%,-0.17%,418217,4182.2,12
2026-06-11,요소수,+3.01%,-1.22%,14860,148.6,5
2026-06-11,우주항공산업(누리호/인공위성 등),+2.98%,-1.23%,1525194,15251.9,37
2026-06-11,고령화 사회(노인복지),+2.97%,-1.24%,9182679,91826.8,35
2026-06-11,2차전지(LFP/리튬인산철),+2.89%,-1.94%,300890,3008.9,12
2026-06-11,갤럭시 부품주,+2.83%,-1.38%,11191670,111916.7,39
2026-06-11,日 수출 규제(국산화 등),+2.78%,-0.09%,492879,4928.8,20
2026-06-11,코로나19(치료제/백신 개발 등),+2.75%,-2.20%,239264,2392.6,29
2026-06-11,2차전지(소재/부품),+2.74%,-1.81%,1515399,15154.0,75
2026-06-11,뉴로모픽 반도체,+2.72%,-1.74%,9001925,90019.2,7
2026-06-11,태양광에너지,+2.64%,-1.31%,3513698,35137.0,44
2026-06-11,종합 물류,+2.60%,-0.77%,82473,824.7,16
2026-06-11,폴더블폰,+2.59%,-2.12%,11393522,113935.2,24
2026-06-11,화장품,+2.56%,-0.73%,674955,6749.6,92
2026-06-11,음식료업종,+2.54%,-0.69%,295370,2953.7,66
2026-06-11,오가노이드,+2.53%,-1.46%,91226,912.3,8
2026-06-11,면역항암제,+2.47%,-2.31%,341384,3413.8,36
2026-06-11,2차전지,+2.46%,-1.83%,2259587,22595.9,144
2026-06-11,통신장비,+2.46%,-2.40%,630459,6304.6,46
2026-06-11,2차전지(장비),+2.45%,-1.56%,76324,763.2,47
2026-06-11,여행,+2.43%,-0.62%,7859,78.6,9
2026-06-11,김밥(냉동김밥 등),+2.40%,-0.60%,1175,11.8,6
2026-06-11,모더나(MODERNA),+2.36%,-1.12%,133039,1330.4,6
2026-06-11,코리아 밸류업 지수(Korea Value-up Index),+2.35%,-0.84%,32097213,320972.1,99
2026-06-11,줄기세포,+2.34%,-1.14%,70016,700.2,18
2026-06-11,아이폰,+2.30%,-1.58%,25165319,251653.2,20
2026-06-11,구제역/광우병 수혜,+2.28%,-0.70%,40566,405.7,20
2026-06-11,비료,+2.28%,-0.62%,14843,148.4,10
2026-06-11,재난/안전(지진/화재 등),+2.27%,-1.27%,17561,175.6,21
2026-06-11,쿠팡(coupang),+2.26%,-1.61%,41426,414.3,21
2026-06-11,미용기기,+2.26%,-0.63%,455821,4558.2,19
2026-06-11,의료AI,+2.24%,-1.81%,204211,2042.1,30
2026-06-11,5G(5세대 이동통신),+2.18%,-2.25%,11124106,111241.1,54
2026-06-11,2차전지(전고체),+2.15%,-1.88%,2690463,26904.6,30
2026-06-11,통신,+2.14%,-0.09%,274060,2740.6,3
2026-06-11,페라이트,+2.14%,-1.74%,25209,252.1,14
2026-06-11,탈 플라스틱(친환경/생분해성 등),+2.14%,-1.50%,25897,259.0,8
2026-06-11,아프리카 돼지열병(ASF),+2.12%,-0.47%,46059,460.6,31
2026-06-11,화폐/금융자동화기기(디지털화폐 등),+2.10%,-2.48%,43008,430.1,10
2026-06-11,폐기물처리,+2.10%,-0.50%,2255,22.6,5
2026-06-11,농업,+2.09%,-1.07%,21439,214.4,23
2026-06-11,의료기기,+2.08%,-1.22%,9476852,94768.5,91
2026-06-11,리튬,+2.07%,-1.07%,980473,9804.7,22
2026-06-11,전기차 화재 방지(배터리 열폭주 등),+2.07%,-2.32%,35667,356.7,28
2026-06-11,마이크로 LED,+2.06%,-2.08%,9782458,97824.6,11
2026-06-11,고체산화물 연료전지(SOFC),+2.04%,-1.02%,509440,5094.4,13
2026-06-11,테마파크,+2.03%,-1.47%,120368,1203.7,6
2026-06-11,홈쇼핑,+2.02%,+0.83%,86070,860.7,5
2026-06-11,수자원(양적/질적 개선),+2.02%,-0.74%,622235,6222.4,27
2026-06-11,두나무(Dunamu),+2.01%,-1.34%,149158,1491.6,11
2026-06-11,건강기능식품,+1.92%,-1.24%,204082,2040.8,44
2026-06-11,초전도체,+1.91%,-1.31%,290549,2905.5,15
2026-06-11,핀테크(FinTech),+1.89%,-1.58%,821288,8212.9,33
2026-06-11,mRNA(메신저 리보핵산),+1.82%,-2.20%,165810,1658.1,14
2026-06-11,코로나19(진단/치료제/백신 개발 등),+1.81%,-1.43%,300865,3008.7,73
2026-06-11,스마트폰,+1.75%,-1.49%,10205728,102057.3,62
2026-06-11,건설 중소형,+1.73%,-0.80%,12502,125.0,26
2026-06-11,편의점,+1.72%,-0.39%,53239,532.4,5
2026-06-11,LPG(액화석유가스),+1.69%,-1.03%,193928,1939.3,9
