date,theme,chg,chg_3d,value_mil,value_eok,count
2026-06-23,바이오시밀러(복제 바이오의약품),-4.78%,-2.28%,494072,4940.7,21
2026-06-23,카지노,-4.80%,-1.72%,31328,313.3,6
2026-06-23,치매,-4.80%,-2.74%,268168,2681.7,50
2026-06-23,페라이트,-4.83%,-1.45%,60927,609.3,14
2026-06-23,지주사,-4.89%,-2.33%,7879757,78797.6,126
2026-06-23,치아 치료(임플란트 등),-4.91%,-2.80%,30490,304.9,14
2026-06-23,모더나(MODERNA),-4.91%,-2.87%,105494,1054.9,6
2026-06-23,화이자(PFIZER),-4.91%,-3.03%,36896,369.0,5
2026-06-23,수자원(양적/질적 개선),-4.92%,-2.42%,807880,8078.8,27
2026-06-23,엔터테인먼트,-4.94%,-2.90%,154788,1547.9,30
2026-06-23,밸류업(24년 기업가치 제고계획 발표),-4.94%,-2.35%,32590156,325901.6,91
2026-06-23,전선,-4.95%,-4.02%,699417,6994.2,8
2026-06-23,수산,-4.96%,-1.24%,4816,48.2,10
2026-06-23,비료,-4.97%,-2.44%,9127,91.3,10
2026-06-23,일자리(취업),-4.99%,-2.33%,7622,76.2,9
2026-06-23,고령화 사회(노인복지),-5.00%,-2.63%,13518898,135189.0,35
2026-06-23,비만치료제,-5.04%,-3.18%,434925,4349.2,36
2026-06-23,애플페이,-5.07%,-1.78%,8557,85.6,8
2026-06-23,모바일콘텐츠(스마트폰/태블릿PC),-5.08%,-2.35%,5533912,55339.1,32
2026-06-23,마이크로바이옴,-5.08%,-3.00%,60505,605.0,18
2026-06-23,코로나19(진단/치료제/백신 개발 등),-5.09%,-3.19%,241185,2411.8,73
2026-06-23,UAM(도심항공모빌리티),-5.09%,-2.26%,1954440,19544.4,25
2026-06-23,백화점,-5.13%,-3.16%,154660,1546.6,6
2026-06-23,남북경협,-5.14%,-1.99%,327084,3270.8,29
2026-06-23,정유,-5.16%,-2.02%,98443,984.4,3
2026-06-23,CCTV＆DVR,-5.17%,-2.66%,36126,361.3,7
2026-06-23,골판지 제조,-5.19%,-1.81%,3676,36.8,10
2026-06-23,2025 하반기 신규상장,-5.22%,-2.85%,200881,2008.8,66
