date,theme,chg,chg_3d,value_mil,value_eok,count
2026-07-05,반도체 대표주(생산),+7.48%,-5.35%,27528087,275280.9,3
2026-07-05,S7(삼성전자/SK하이닉스 등),+6.69%,-3.51%,33090927,330909.3,7
2026-07-05,증권,+5.57%,-0.83%,417168,4171.7,21
2026-07-05,마이크로 LED,+5.14%,-3.27%,9732840,97328.4,11
2026-07-05,유심(USIM),+5.07%,+2.36%,2727,27.3,5
2026-07-05,페라이트,+4.92%,-0.13%,91635,916.4,14
2026-07-05,제대혈,+4.31%,-2.08%,11045,110.5,5
2026-07-05,제습기,+3.88%,-0.58%,9783231,97832.3,8
2026-07-05,STO(토큰증권 발행),+3.79%,+0.03%,887663,8876.6,25
2026-07-05,카메라모듈/부품,+3.63%,-1.60%,2474185,24741.8,27
2026-07-05,폴더블폰,+3.63%,-1.92%,11846447,118464.5,24
2026-07-05,귀금속(금/은),+3.55%,-0.91%,24069,240.7,4
2026-07-05,희귀금속(희토류 등),+3.49%,-0.47%,173580,1735.8,17
2026-07-05,소캠(SOCAMM),+3.38%,-3.03%,27827071,278270.7,11
2026-07-05,니켈,+3.37%,-0.75%,391054,3910.5,14
2026-07-05,온디바이스 AI,+3.34%,-2.87%,30599132,305991.3,24
2026-07-05,토스(toss),+3.32%,-0.56%,130743,1307.4,6
2026-07-05,전력반도체,+3.26%,-1.90%,27627082,276270.8,19
2026-07-05,마이데이터,+3.21%,+0.35%,220593,2205.9,11
2026-07-05,스페이스X(SpaceX),+3.21%,-1.85%,514512,5145.1,14
2026-07-05,CXL(컴퓨트익스프레스링크),+3.19%,-3.00%,27557074,275570.7,13
2026-07-05,국내 상장 중국기업,+3.18%,+0.12%,14955,149.6,11
2026-07-05,지역화폐,+3.10%,-1.05%,3757,37.6,5
2026-07-05,엔젤산업,+3.05%,+0.05%,15969,159.7,26
2026-07-05,오가노이드,+3.02%,-0.95%,82400,824.0,8
2026-07-05,갤럭시 부품주,+2.99%,-2.01%,11767298,117673.0,39
2026-07-05,HBM(고대역폭메모리),+2.98%,-2.70%,28009105,280091.0,33
2026-07-05,NI(네트워크통합),+2.89%,-1.35%,1836,18.4,7
2026-07-05,2026 상반기 신규상장,+2.88%,-2.22%,451263,4512.6,31
2026-07-05,자원개발,+2.86%,+1.00%,413799,4138.0,14
2026-07-05,스마트홈(홈네트워크),+2.61%,-0.20%,9854316,98543.2,23
2026-07-05,뉴로모픽 반도체,+2.61%,-3.93%,9466130,94661.3,7
2026-07-05,IT 대표주,+2.60%,-2.56%,28064479,280644.8,6
2026-07-05,우주항공산업(누리호/인공위성 등),+2.59%,-0.81%,1023085,10230.9,37
2026-07-05,2차전지(장비),+2.55%,-1.46%,43951,439.5,47
2026-07-05,2차전지(전고체),+2.51%,-2.78%,2675114,26751.1,30
2026-07-05,야놀자(Yanolja),+2.49%,-1.02%,21366,213.7,5
2026-07-05,은행,+2.46%,+1.22%,842717,8427.2,11
2026-07-05,유리 기판,+2.46%,-2.41%,2306164,23061.6,20
2026-07-05,손해보험,+2.45%,-0.16%,137650,1376.5,8
