date,theme,chg,chg_3d,value_mil,value_eok,count
2026-06-17,전선,+8.48%,+2.41%,1342189,13421.9,8
2026-06-17,조선,+5.81%,+3.90%,1349180,13491.8,7
2026-06-17,캐릭터상품,+4.83%,+1.31%,13691,136.9,9
2026-06-17,탈모 치료,+4.26%,+2.31%,514606,5146.1,26
2026-06-17,강관업체(Steel pipe),+3.99%,+3.14%,187473,1874.7,11
2026-06-17,마이코플라스마 폐렴,+3.87%,+1.43%,75318,753.2,12
2026-06-17,면역항암제,+3.73%,+0.60%,332992,3329.9,36
2026-06-17,시멘트/레미콘,+3.64%,+3.72%,69161,691.6,15
2026-06-17,철강 중소형,+2.91%,+2.02%,248613,2486.1,36
2026-06-17,유전자 치료제/분석,+2.83%,+0.47%,140996,1410.0,42
2026-06-17,미용기기,+2.82%,-0.28%,183440,1834.4,19
2026-06-17,낙태/피임,+2.66%,+3.68%,255145,2551.4,4
2026-06-17,보톡스(보툴리눔톡신),+2.49%,+0.76%,42769,427.7,13
2026-06-17,비만치료제,+2.47%,+0.67%,1004833,10048.3,36
2026-06-17,반도체 대표주(생산),+2.39%,+3.31%,15338724,153387.2,3
2026-06-17,게임,+2.33%,+0.42%,392747,3927.5,30
2026-06-17,치매,+2.31%,+1.29%,588309,5883.1,50
2026-06-17,모더나(MODERNA),+2.27%,+1.22%,128849,1288.5,6
2026-06-17,무선충전기술,+2.26%,+2.34%,6962933,69629.3,12
2026-06-17,전력설비,+2.20%,+2.79%,2364373,23643.7,34
2026-06-17,의료AI,+2.17%,+0.90%,120581,1205.8,30
2026-06-17,모바일게임(스마트폰),+2.05%,+0.52%,394493,3944.9,36
2026-06-17,코로나19(치료제/백신 개발 등),+2.03%,+0.70%,176284,1762.8,29
2026-06-17,마리화나(대마),+2.01%,+0.98%,7796,78.0,10
2026-06-17,코로나19(음압병실/음압구급차),+1.98%,+1.37%,16411,164.1,7
2026-06-17,치아 치료(임플란트 등),+1.94%,+0.92%,27717,277.2,14
2026-06-17,의료기기,+1.89%,+0.93%,6597348,65973.5,91
2026-06-17,고령화 사회(노인복지),+1.88%,+1.07%,6281829,62818.3,35
2026-06-17,오가노이드,+1.85%,+0.76%,88546,885.5,8
2026-06-17,영상콘텐츠,+1.82%,+0.37%,27603,276.0,34
2026-06-17,엔터테인먼트,+1.81%,+0.70%,161911,1619.1,30
2026-06-17,제약업체,+1.76%,+1.09%,849707,8497.1,86
2026-06-17,2025 하반기 신규상장,+1.73%,+0.81%,209006,2090.1,66
2026-06-17,LED장비,+1.72%,+0.13%,676051,6760.5,11
2026-06-17,미디어(방송/신문),+1.68%,+0.49%,4069,40.7,11
2026-06-17,소캠(SOCAMM),+1.68%,+0.59%,15673777,156737.8,11
2026-06-17,화장품,+1.60%,+0.26%,401578,4015.8,92
2026-06-17,mRNA(메신저 리보핵산),+1.55%,+0.59%,215384,2153.8,14
2026-06-17,플렉서블 디스플레이,+1.48%,+1.12%,6714910,67149.1,25
2026-06-17,아프리카 돼지열병(ASF),+1.46%,+0.56%,24003,240.0,31
2026-06-17,남-북-러 가스관사업,+1.44%,+2.91%,174867,1748.7,13
2026-06-17,HBM(고대역폭메모리),+1.41%,+1.68%,16076120,160761.2,33
2026-06-17,줄기세포,+1.39%,+0.60%,42296,423.0,18
2026-06-17,공기청정기,+1.37%,+1.76%,6615343,66153.4,12
2026-06-17,바이오시밀러(복제 바이오의약품),+1.37%,+1.14%,624716,6247.2,21
2026-06-17,삼성페이,+1.36%,+1.14%,6222280,62222.8,26
2026-06-17,화이자(PFIZER),+1.36%,+1.41%,25699,257.0,5
2026-06-17,마이크로 LED,+1.32%,+1.17%,6438565,64385.7,11
2026-06-17,음원/음반,+1.28%,+0.94%,158336,1583.4,15
2026-06-17,국내 상장 중국기업,+1.25%,-0.76%,6858,68.6,11
2026-06-17,재난/안전(지진/화재 등),+1.23%,+1.82%,26841,268.4,21
2026-06-17,수자원(양적/질적 개선),+1.18%,+2.69%,1164380,11643.8,27
2026-06-17,리츠(REITs),+1.18%,+0.03%,31796,318.0,22
2026-06-17,반도체 기판(FC-BGA/PCB/MLB 등),+1.18%,-0.19%,2083508,20835.1,14
2026-06-17,페라이트,+1.16%,+2.22%,102374,1023.7,14
2026-06-17,코로나19(진단/치료제/백신 개발 등),+1.13%,+0.86%,229556,2295.6,73
2026-06-17,CCTV＆DVR,+1.12%,+0.57%,17377,173.8,7
2026-06-17,전력반도체,+1.07%,+1.69%,15417270,154172.7,19
2026-06-17,CXL(컴퓨트익스프레스링크),+1.04%,+0.91%,15434958,154349.6,13
2026-06-17,피팅(관이음쇠)/밸브,+1.03%,+2.88%,71095,711.0,9
2026-06-17,SNS(소셜네트워크서비스),+1.00%,+1.24%,331153,3311.5,10
2026-06-17,폐기물처리,+0.98%,+1.11%,3929,39.3,5
2026-06-17,건강기능식품,+0.95%,+0.25%,93395,934.0,44
2026-06-17,전자결제(전자화폐),+0.93%,+1.32%,24765,247.7,13
2026-06-17,"스포츠행사 수혜(올림픽, 월드컵 등)",+0.91%,+0.95%,8888,88.9,9
2026-06-17,웹툰,+0.91%,+0.14%,331285,3312.8,15
2026-06-17,여행,+0.89%,+2.21%,8977,89.8,9
2026-06-17,백화점,+0.86%,+0.85%,152989,1529.9,6
2026-06-17,석유화학,+0.85%,+1.28%,334987,3349.9,18
2026-06-17,요소수,+0.85%,+1.40%,6360,63.6,5
2026-06-17,AI 챗봇(챗GPT 등),+0.85%,+0.48%,529142,5291.4,31
2026-06-17,조림사업,+0.84%,+2.27%,140506,1405.1,11
2026-06-17,핀테크(FinTech),+0.83%,+0.96%,531734,5317.3,33
2026-06-17,갤럭시 부품주,+0.83%,+1.71%,7483433,74834.3,39
2026-06-17,LED,+0.82%,+0.95%,6757974,67579.7,38
2026-06-17,반도체 재료/부품,+0.80%,+1.21%,1180018,11800.2,69
2026-06-17,코로나19(진단키트),+0.80%,+1.05%,52193,521.9,40
2026-06-17,마이크로바이옴,+0.79%,+1.06%,45227,452.3,18
2026-06-17,핵융합에너지,+0.78%,+2.84%,353435,3534.3,8
2026-06-17,재택근무/스마트워크,+0.78%,-0.23%,9828,98.3,16
2026-06-17,가상현실(VR),+0.77%,+1.05%,6409541,64095.4,27
2026-06-17,모바일콘텐츠(스마트폰/태블릿PC),+0.76%,+0.87%,1842509,18425.1,32
2026-06-17,스테이블코인,+0.76%,+0.67%,415785,4157.9,25
2026-06-17,조선기자재,+0.74%,+3.52%,416223,4162.2,36
2026-06-17,해저터널(지하화/지하도로 등),+0.74%,+2.94%,102022,1020.2,9
2026-06-17,탄소나노튜브(CNT),+0.72%,+2.43%,85210,852.1,5
2026-06-17,지역화폐,+0.72%,+0.47%,3393,33.9,5
