date,theme,chg,chg_3d,value_mil,value_eok,count
2026-06-30,반도체 기판(FC-BGA/PCB/MLB 등),+7.69%,-0.30%,3756808,37568.1,14
2026-06-30,전선,+4.87%,-0.30%,392066,3920.7,8
2026-06-30,스마트카(SMART CAR),+4.75%,-1.47%,568806,5688.1,13
2026-06-30,유심(USIM),+4.21%,-0.11%,3660,36.6,5
2026-06-30,반도체 장비,+3.12%,+0.84%,3232466,32324.7,95
2026-06-30,소캠(SOCAMM),+3.02%,-0.41%,23099090,230990.9,11
2026-06-30,모듈러주택,+2.57%,+0.42%,481564,4815.6,10
2026-06-30,마리화나(대마),+2.41%,+2.13%,14487,144.9,10
2026-06-30,MLCC(적층세라믹콘덴서),+2.31%,-2.31%,3077873,30778.7,11
2026-06-30,골프,+2.26%,+1.75%,111931,1119.3,15
2026-06-30,전력반도체,+2.14%,-1.08%,22805704,228057.0,19
2026-06-30,PCB(FPCB 등),+2.03%,-0.16%,3537021,35370.2,31
2026-06-30,LED장비,+1.93%,-1.46%,912616,9126.2,11
2026-06-30,CCTV＆DVR,+1.90%,-0.56%,20037,200.4,7
2026-06-30,S7(삼성전자/SK하이닉스 등),+1.89%,-0.69%,29232971,292329.7,7
2026-06-30,전력설비,+1.75%,+0.29%,1408574,14085.7,34
2026-06-30,페라이트,+1.73%,-1.12%,41024,410.2,14
2026-06-30,수산,+1.67%,+0.75%,4226,42.3,10
2026-06-30,반도체 재료/부품,+1.59%,+0.21%,896195,8962.0,69
2026-06-30,토스(toss),+1.59%,+0.69%,130882,1308.8,6
2026-06-30,반도체 대표주(생산),+1.55%,-0.81%,22635829,226358.3,3
2026-06-30,수자원(양적/질적 개선),+1.35%,+0.90%,796027,7960.3,27
2026-06-30,무선충전기술,+1.29%,-0.86%,10051478,100514.8,12
2026-06-30,재난/안전(지진/화재 등),+1.24%,+1.16%,36147,361.5,21
2026-06-30,국내 상장 중국기업,+1.21%,-3.82%,7768,77.7,11
