date,theme,chg,chg_3d,value_mil,value_eok,count
2026-06-08,인터넷 대표주,+2.55%,-1.94%,2917920,29179.2,2
2026-06-08,통신,+0.90%,-1.01%,556818,5568.2,3
2026-06-08,기업인수목적회사(SPAC),-0.32%,+0.04%,8864,88.6,74
2026-06-08,종합상사,-1.54%,-1.09%,1013763,10137.6,8
2026-06-08,마켓컬리(kurly),-1.62%,-1.25%,830661,8306.6,10
2026-06-08,생명보험,-1.72%,+2.37%,332245,3322.4,5
2026-06-08,국내 상장 중국기업,-1.89%,-1.52%,8352,83.5,11
2026-06-08,제지,-2.54%,-0.55%,6044,60.4,14
2026-06-08,도시가스,-2.86%,-0.36%,12746,127.5,9
2026-06-08,유심(USIM),-2.86%,-1.61%,2206,22.1,5
2026-06-08,리츠(REITs),-2.97%,-0.29%,11329,113.3,22
2026-06-08,"주류업(주정, 에탄올 등)",-3.19%,+0.03%,7861,78.6,13
2026-06-08,강관업체(Steel pipe),-3.30%,-1.05%,27553,275.5,11
2026-06-08,호텔/리조트,-3.40%,+0.36%,875299,8753.0,14
2026-06-08,윤활유,-3.40%,+0.25%,161621,1616.2,7
2026-06-08,마이데이터,-3.44%,-1.73%,2826658,28266.6,11
2026-06-08,골판지 제조,-3.45%,-0.61%,5645,56.5,10
2026-06-08,LPG(액화석유가스),-3.47%,-0.42%,166155,1661.5,9
2026-06-08,광고,-3.77%,-0.36%,21440,214.4,25
2026-06-08,SNS(소셜네트워크서비스),-3.78%,-1.01%,2924702,29247.0,10
2026-06-08,수산,-3.83%,-0.50%,4092,40.9,10
2026-06-08,자원개발,-3.88%,-0.91%,346108,3461.1,14
2026-06-08,재택근무/스마트워크,-3.90%,-2.46%,36612,366.1,16
2026-06-08,구제역/광우병 수혜,-3.91%,-0.35%,11156,111.6,20
2026-06-08,태풍 및 장마,-3.94%,-1.01%,11489,114.9,10
2026-06-08,렌터카,-3.99%,-0.98%,3332,33.3,4
2026-06-08,남-북-러 가스관사업,-4.03%,-1.11%,20379,203.8,13
2026-06-08,NI(네트워크통합),-4.09%,-3.03%,12746,127.5,7
2026-06-08,아프리카 돼지열병(ASF),-4.11%,-1.09%,16024,160.2,31
2026-06-08,주유소,-4.18%,-0.67%,207507,2075.1,15
2026-06-08,폐기물처리,-4.27%,-0.97%,3457,34.6,5
2026-06-08,교육/온라인 교육,-4.29%,-0.40%,14820,148.2,27
2026-06-08,철강 중소형,-4.34%,-1.25%,40328,403.3,36
2026-06-08,겨울,-4.36%,-0.67%,135750,1357.5,22
2026-06-08,"스포츠행사 수혜(올림픽, 월드컵 등)",-4.38%,-0.32%,10801,108.0,9
2026-06-08,음성인식,-4.38%,-1.59%,3406718,34067.2,11
2026-06-08,홈쇼핑,-4.39%,+0.17%,31194,311.9,5
2026-06-08,음식료업종,-4.39%,-0.55%,170081,1700.8,66
2026-06-08,자전거,-4.40%,-0.54%,1800,18.0,3
2026-06-08,日제품 불매운동(수혜),-4.40%,-0.97%,10165,101.7,20
2026-06-08,백화점,-4.42%,+3.60%,150905,1509.0,6
2026-06-08,콩/대두,-4.45%,-0.93%,2163,21.6,5
2026-06-08,블록체인,-4.48%,-2.14%,3865714,38657.1,23
2026-06-08,카지노,-4.50%,+1.02%,43919,439.2,6
2026-06-08,육계,-4.53%,-0.73%,6096,61.0,9
2026-06-08,게임,-4.58%,-0.55%,2971918,29719.2,30
2026-06-08,시멘트/레미콘,-4.58%,-0.24%,29055,290.6,15
2026-06-08,아스콘(아스팔트 콘크리트),-4.58%,-1.67%,9660,96.6,9
2026-06-08,항공/저가 항공사(LCC),-4.59%,-0.37%,65333,653.3,9
2026-06-08,낙태/피임,-4.64%,-1.60%,2217,22.2,4
2026-06-08,탈 플라스틱(친환경/생분해성 등),-4.72%,-0.90%,33966,339.7,8
2026-06-08,엔터테인먼트,-4.76%,-1.25%,202617,2026.2,31
2026-06-08,환율하락 수혜,-4.78%,-0.68%,441918,4419.2,23
2026-06-08,비료,-4.79%,-0.48%,11440,114.4,10
2026-06-08,철강 주요종목,-4.84%,-1.86%,197667,1976.7,11
2026-06-08,인터넷은행,-4.86%,-0.86%,705061,7050.6,31
2026-06-08,김밥(냉동김밥 등),-4.86%,-0.62%,1880,18.8,6
2026-06-08,"백신/진단시약/방역(신종플루, AI 등)",-4.87%,-1.21%,157435,1574.3,43
2026-06-08,엔젤산업,-4.87%,-0.25%,10972,109.7,26
2026-06-08,모바일게임(스마트폰),-4.88%,-0.57%,2975214,29752.1,36
2026-06-08,마스크,-4.90%,-1.33%,16739,167.4,22
2026-06-08,손해보험,-4.97%,+0.95%,194011,1940.1,8
