종목명,종목코드,현재가,등락률(%),시장
JW중외제약2우B,001067,55200,-0.18,KOSPI
JW중외제약우,001065,26000,-1.14,KOSPI
JW홀딩스,096760,4240,-0.93,KOSPI
JYP Ent.,035900,62500,-0.64,KOSDAQ
KBG,318000,4565,-0.11,KOSDAQ
KBI동양철관,008970,1860,-1.33,KOSPI
KBI메탈,024840,6630,+30.00,KOSDAQ
KB금융,105560,157800,-1.68,KOSPI
KB발해인프라,415640,9990,-1.09,KOSPI
KB스타리츠,432320,2020,-6.70,KOSPI
KB오토시스,024120,3925,-2.48,KOSDAQ
KB제27호스팩,464680,2090,+0.00,KOSDAQ
KB제29호스팩,478390,2065,-0.24,KOSDAQ
KB제30호스팩,486630,2055,+0.00,KOSDAQ
KB제31호스팩,492220,2035,+0.49,KOSDAQ
KB제32호스팩,0037T0,2005,-0.25,KOSDAQ
KB제33호스팩,0072Z0,2000,+0.05,KOSDAQ
KCC,002380,574000,+3.42,KOSPI
KCC건설,021320,7160,+0.70,KOSDAQ
KCC글라스,344820,28950,-1.19,KOSPI
KCTC,009070,6010,+1.35,KOSPI
KC그린홀딩스,009440,756,+0.00,KOSPI
KC코트렐,119650,918,+0.00,KOSPI
KD,044180,205,+0.00,KOSDAQ
KEC,092220,1838,+0.00,KOSPI
KG모빌리티,003620,4440,+2.42,KOSPI
KG스틸,016380,6990,-0.57,KOSPI
KG에코솔루션,151860,7270,-1.22,KOSDAQ
KG이니시스,035600,11480,+0.26,KOSDAQ
KG케미칼,001390,6550,-7.36,KOSPI
KG파이낸셜,046440,5230,+0.00,KOSDAQ
KH바텍,060720,14080,+0.36,KOSDAQ
KISCO홀딩스,001940,26600,-1.48,KOSPI
KNN,058400,719,+0.84,KOSDAQ
KPX케미칼,025000,54100,-0.18,KOSPI
KPX홀딩스,092230,91300,+0.33,KOSPI
KR모터스,000040,436,+1.16,KOSPI
KSS해운,044450,12760,-0.47,KOSPI
KS인더스트리,101000,822,+1.73,KOSDAQ
KT,030200,60600,-0.49,KOSPI
KT&G,033780,179600,+0.73,KOSPI
KTcs,058850,2685,-0.37,KOSPI
KTis,058860,2870,-0.17,KOSPI
KT나스미디어,089600,12030,-1.31,KOSDAQ
KT밀리의서재,418470,13220,-1.56,KOSDAQ
KT지니뮤직,043610,1754,-1.85,KOSDAQ
KX,122450,3235,+1.41,KOSDAQ
KX하이텍,052900,1239,+3.51,KOSDAQ
KZ정밀,036560,14480,-1.36,KOSDAQ
LB세미콘,061970,5480,-2.14,KOSDAQ
LB인베스트먼트,309960,5990,+1.53,KOSDAQ
LF,093050,25050,+1.01,KOSPI
LG,003550,102300,+3.23,KOSPI
LG디스플레이,034220,12310,+0.41,KOSPI
LG생활건강,051900,279500,+10.04,KOSPI
LG생활건강우,051905,118300,+3.59,KOSPI
LG씨엔에스,064400,65900,+1.38,KOSPI
LG에너지솔루션,373220,472000,+2.50,KOSPI
LG우,003555,72200,+1.26,KOSPI
